visitID,Column,unique_id,query_normalised,query_tokens
649635,0,0-649635,london diamond,2
649635,1,1-649635,london diamond-workers,2
649635,2,2-649635,london diamond-workers trade union,4
649756,3,3-649756,bioscope,1
649756,4,4-649756,cinéma,1
649756,5,5-649756,cinématographe,1
649756,6,6-649756,cinématographie,1
649756,7,7-649756,cinématographique,1
649858,8,8-649858,soucoupes volantes,2
649940,9,9-649940,delbecq guignies,2
649981,10,10-649981,cambron,1
649981,11,11-649981,coinne,1
649981,12,12-649981,coisne,1
649981,13,13-649981,pruvost,1
650099,14,14-650099,dendermonde,1
650298,15,15-650298,dendermonde,1
650480,16,16-650480,oud-strijder,1
650574,17,17-650574,assenede bassevelde boekhoute bouchaute oost-eecloo,5
650574,18,18-650574,assenede bassevelde bouchaute boekhoute oost-eecloo,5
650636,19,19-650636,bridge,1
650636,20,20-650636,britch,1
650644,21,21-650644,dendermonde,1
650707,22,22-650707,rommel,1
650707,23,23-650707,rommel charles,2
651009,25,25-651009,pruvost michel,2
651009,24,24-651009,pruvost,1
651069,26,26-651069,parent-schaken,1
651089,27,27-651089,macan,1
651111,28,28-651111,brand carette moeskroen,3
651111,29,29-651111,brand carette spinnen,3
651111,30,30-651111,brand spinnen,2
651111,31,31-651111,castelain comines,2
651111,32,32-651111,castelain deruelle,2
651111,33,33-651111,castelain desruelle,2
651111,34,34-651111,castelain komen,2
651111,35,35-651111,coton carette mouscron,3
651111,36,36-651111,filature carette mouscron,3
651111,37,37-651111,mécénat carette mouscron,3
651214,38,38-651214,bernard israelite,2
651214,39,39-651214,cahen,1
651214,40,40-651214,fissers,1
651214,41,41-651214,fuerte,1
651214,42,42-651214,furte,1
651214,43,43-651214,krinsberg,1
651214,44,44-651214,prinsberg,1
651214,45,45-651214,vrinsberg,1
651248,46,46-651248,coeckelberg,1
651248,47,47-651248,daniels,1
651248,48,48-651248,denaeyer,1
651248,49,49-651248,patinage,1
651321,50,50-651321,bridge,1
651467,51,51-651467,lusitania,1
651634,52,52-651634,assenede bassevelde boekhoute bouchaute oost-eecloo,5
651647,53,53-651647,bataille de l,3
651670,54,54-651670,beaux-arts hoeylaert,2
651670,55,55-651670,derniers rayons,2
651670,56,56-651670,huldenberg,1
651718,57,57-651718,bibliothèque royale,2
651766,59,59-651766,bridgeur,1
651766,60,60-651766,whist bridge,2
651766,58,58-651766,bridge,1
651948,61,61-651948,daniels,1
652026,62,62-652026,amsterdamsch,1
652026,63,63-652026,bamberger,1
652026,64,64-652026,breuker,1
652026,65,65-652026,daniel de lange,3
652026,66,66-652026,wilhelmine clauss,2
652098,67,67-652098,vrithoff,1
652098,68,68-652098,vrithoff wilmart,2
652116,69,69-652116,strépy,1
652134,70,70-652134,bertot,1
652339,71,71-652339,amalia rodrigues,2
652394,72,72-652394,heden dinant,2
652394,73,73-652394,wespin,1
652443,74,74-652443,strépy,1
652460,75,75-652460,compagnie belge téléphone,3
652601,76,76-652601,lessines ghoy ogy wannebecq,4
652601,77,77-652601,lessines ogy ghoy wannebecq,4
652659,78,78-652659,aartselaar,1
652659,79,79-652659,aartselaar aertselaer,2
652659,80,80-652659,jodenkoers jodenloop,2
652712,81,81-652712,aartselaar aertselaer,2
652750,82,82-652750,bibliothèque royale,2
652854,83,83-652854,de moor,2
652941,84,84-652941,brand sigaren leuven,3
652941,85,85-652941,carette leuven,2
652941,86,86-652941,carette sigaren,2
652941,87,87-652941,eickelberg boorsheim,2
652941,88,88-652941,eijkelberg boorsheim,2
652941,89,89-652941,gillet amour,2
652941,90,90-652941,gillet lamouline,2
652941,91,91-652941,gillet libramont,2
652941,92,92-652941,janssen boorsheim,2
652941,93,93-652941,kortleven boorsheim,2
652941,94,94-652941,kuypers boorsheim,2
652941,95,95-652941,leuven sigaren,2
652941,96,96-652941,meulen boorsem,2
652941,97,97-652941,meulen boorsheim,2
652941,98,98-652941,meulen eijckelberg boorsheim,3
652941,99,99-652941,moulin boorsheim,2
652941,100,100-652941,mouscron roi,2
652941,101,101-652941,sigarenfabriek carette,2
653130,102,102-653130,villerzie,1
653130,103,103-653130,willerzies,1
653131,104,104-653131,sommelette bouvignes,2
653131,105,105-653131,sottiaux,1
653144,106,106-653144,felix van de weghe,4
653144,107,107-653144,van de weghe,3
653144,109,109-653144,vandeweghe antwerpen,2
653144,110,110-653144,weghe antwerpen,2
653144,108,108-653144,van de weghe felix,4
653163,111,111-653163,anna nellens,2
653163,112,112-653163,armeense revolutionaire federatie dashnak fédération révolutionnaire arménienne,7
653163,113,113-653163,armeense revolutionaire federatie fédération révolutionnaire arménienne dashnak anna nellens,9
653375,114,114-653375,georgemans,1
653375,115,115-653375,lefebure,1
653375,116,116-653375,marcel dupuis,2
653375,117,117-653375,siersaeck,1
653375,118,118-653375,van bellinghen,2
653375,119,119-653375,willain,1
653377,120,120-653377,dendermonde,1
653540,122,122-653540,driejaarlijksche,1
653540,121,121-653540,driejaarlijksch salon,2
653540,123,123-653540,sohie,1
653540,124,124-653540,sohie antwerpen,2
653963,125,125-653963,somme,1
653963,126,126-653963,somme cap dinant,3
653963,127,127-653963,sommelette,1
653963,128,128-653963,sommellette,1
654179,129,129-654179,colombiers militaires,2
654179,131,131-654179,kruishof,1
654179,130,130-654179,colombiers+militaires,1
654212,132,132-654212,garde de chasse,3
654212,133,133-654212,victoor,1
654283,134,134-654283,louette,1
654283,135,135-654283,louette saint denis,3
654283,136,136-654283,louette-saint -denis,2
654283,137,137-654283,louette-saint-pierre,1
654283,138,138-654283,malvoisin,1
654283,139,139-654283,patignies,1
654283,140,140-654283,rienne,1
654303,141,141-654303,chanly,1
654375,143,143-654375,acte de repentir,3
654375,144,144-654375,bruxelles guillemin institut galilée,4
654375,145,145-654375,directeur guillemin bruxelles,3
654375,146,146-654375,directeur institut guillemin bruxelles,4
654375,147,147-654375,gombert 1878,2
654375,148,148-654375,gombert directeurs,2
654375,149,149-654375,gombert direction,2
654375,150,150-654375,gombert direction rachez,3
654375,156,156-654375,gombert élèves institut,3
654375,151,151-654375,gombert guillemin,2
654375,153,153-654375,gombert guillemin élèves,3
654375,154,154-654375,gombert institut,2
654375,155,155-654375,gombert rachez,2
654375,142,142-654375,1878 guillemin,2
654375,164,164-654375,guillemin élèves,2
654375,159,159-654375,guillemin galilée bruxelles,3
654375,152,152-654375,gombert guillemin bruxelles,3
654375,162,162-654375,guillemin institut,2
654375,165,165-654375,http://uurl.kbr.be/1188224,1
654375,166,166-654375,institut gombert guillemin élèves,4
654375,167,167-654375,institut guillemin gombert,3
654375,168,168-654375,rachez,1
654375,170,170-654375,rachez guillemin,2
654375,171,171-654375,repentir,1
654375,172,172-654375,v. guillemin a. gombert,4
654375,174,174-654375,v.guillemin institut,2
654375,173,173-654375,v. guillemin institut,3
654375,163,163-654375,guillemin victor,2
654375,176,176-654375,victor guillemin albert gombert rachez,5
654375,177,177-654375,victor guillemin rachez,3
654375,178,178-654375,victor guillemin rachez gombert,4
654375,160,160-654375,guillemin gombert,2
654375,157,157-654375,guillemin,1
654375,158,158-654375,guillemin 1878,2
