Column,unique_id_query,unique_id_match,wikipedia_link_fr,wikipedia_link_nl,google_book_query,nom_complet,ngram_match,wikidata_loc,recon_wikidata_loc,recon_wikidata_person,types,test_viaf,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,comments_anne,comments_ettore,types_Ettore,queries,extract_geonames,extract_persons
0,22-650707,22-650707-rommel,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rommel""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rommel""~5","https://www.googleapis.com/books/v1/volumes?q=""rommel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,rommel,,,per,rommel,,,,,,,rommel,1,rommel,per,True,False,,,,per,rommel,,
1,85-652941,85-652941-carette,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""carette leuven""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""carette leuven""~5","https://www.googleapis.com/books/v1/volumes?q=""carette+leuven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,carette,,,per,carette,,,,,,,carette leuven,2,carette,per,True,False,,,,per,carette leuven,leuven,
2,85-652941,85-652941-leuven,,,,,,,,,,,,,,,,,carette leuven,2,leuven,loc,True,,,,,loc,carette leuven,leuven,
3,95-652941,95-652941-leuven,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuven sigaren""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuven sigaren""~5","https://www.googleapis.com/books/v1/volumes?q=""leuven+sigaren""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,leuven,Q118958,,loc,leuven,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven sigaren,2,leuven,loc,True,,,,,loc,leuven sigaren,leuven,
4,161-654375,161-654375-guillemin,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bruxelles gombert guillemin""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bruxelles gombert guillemin""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+gombert+bruxelles""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,guillemin,,,per,guillemin,,,,,,,guillemin gombert bruxelles,3,guillemin,per,True,False,,,,per,guillemin gombert bruxelles,bruxelles,
5,161-654375,161-654375-gombert,,,,,,,,,,,,,,,,,guillemin gombert bruxelles,3,gombert,per,True,False,,,,per,guillemin gombert bruxelles,bruxelles,
6,161-654375,161-654375-bruxelles,,,,,,,,,,,,,,,,,guillemin gombert bruxelles,3,bruxelles,loc,True,,,,,loc,guillemin gombert bruxelles,bruxelles,
7,330-659051,,,,,,,,,,,,,,,,,,incendie,1,,,,,,,,,incendie,,
8,469-661619,469-661619-guillemin,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""directeur guillemin institut""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""directeur guillemin institut""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+directeur+institut""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,guillemin,,,per,guillemin,,,,,,,guillemin directeur institut,3,guillemin,per,True,False,,,,per,guillemin directeur institut,,
9,502-662107,502-662107-de smet,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de smet""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de smet""~5","https://www.googleapis.com/books/v1/volumes?q=""de+smet""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,2,de smet,,,per,de smet,,,,,,,de smet,2,de smet,per,True,False,false,,,per,de smet,,
10,618-662611,618-662611-pierre victor guillemin,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""guillemin pierre victor""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""guillemin pierre victor""~5","https://www.googleapis.com/books/v1/volumes?q=""pierre+victor+guillemin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,3,pierre victor guillemin,,,per,pierre victor guillemin,,,,,,,pierre victor guillemin,3,pierre victor guillemin,per,True,True,,,,per,pierre victor guillemin,,pierre victor guillemin
11,642-662695,642-662695-bosco,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bosco""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bosco""~5","https://www.googleapis.com/books/v1/volumes?q=""bosco""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,bosco,,,per,bosco,,,,,,,bosco,1,bosco,per,True,False,,,,per,bosco,,
12,668-663509,668-663509-rachez,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""1878rachez""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""1878rachez""~5","https://www.googleapis.com/books/v1/volumes?q=""1878rachez""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,rachez,,,per,rachez,,,,,,,1878rachez,1,rachez,per,True,False,,,,per,rachez,,
13,755-663658,755-663658-cantillon,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cantillon lembecq""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cantillon lembecq""~5","https://www.googleapis.com/books/v1/volumes?q=""cantillon+lembecq""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,cantillon,Q2345368,,per_loc,cantillon,,,,,,,cantillon lembecq,2,cantillon,per,True,False,,OK,"vérification faite sur le net, la Brasserie cantillon a quitté Lembecq en 1900 pour s'installer à BXL. -> per et loc",per,cantillon lembecq,lembecq,
14,755-663658,755-663658-lembecq,,,,,,,,,,,,,,,,,cantillon lembecq,2,lembecq,loc,True,,,OK,Lembecq est un lieu lié à l'histoire de la brasserie cantillon,loc,cantillon lembecq,lembecq,
15,789-664728,789-664728-fishlin,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""fishlin""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""fishlin""~5","https://www.googleapis.com/books/v1/volumes?q=""fishlin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,fishlin,,,per_ambig,fishlin,,,,,,,fishlin,1,fishlin,per_ambig,True,False,,,,per_ambig,fishlin,,
16,825-665744,825-665744-bruxelles,,,,,,,,,,,,,,,,,institut bruxelles directeurs,3,bruxelles,loc,True,,,,,loc,institut bruxelles directeurs,bruxelles,
17,921-667762,921-667762-charles bernard,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bernard charles discours""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bernard charles discours""~5","https://www.googleapis.com/books/v1/volumes?q=""discours+charles+bernard""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,charles bernard,,Q5075574,per,charles bernard,,,,,,,discours charles bernard,3,charles bernard,per,True,True,,,,per,discours charles bernard,,charles bernard
18,939-668536,939-668536-baelen,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""baelen necrologie""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""baelen necrologie""~5","https://www.googleapis.com/books/v1/volumes?q=""necrologie+baelen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,baelen,,,per,baelen,,,,,,,necrologie baelen,2,baelen,per,True,False,,,,per,necrologie baelen,baelen,
19,1017-670263,1017-670263-mies van der rohe,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""der mies rohe van""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""der mies rohe van""~5","https://www.googleapis.com/books/v1/volumes?q=""mies+van+der+rohe""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,4,mies van der rohe,,Q41508,per,mies van der rohe,,,,,,,mies van der rohe,4,mies van der rohe,per,True,True,,,,per,mies van der rohe,,mies van der rohe
20,1182-674942,1182-674942-malpertuis,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""malpertuis""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""malpertuis""~5","https://www.googleapis.com/books/v1/volumes?q=""malpertuis""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,malpertuis,Q2680238,,loc,malpertuis,,,,,,Netherlands,malpertuis,1,malpertuis,loc,True,,,,,loc,malpertuis,,
21,1194-675209,,,,,,,,,,,,,,,,,,comptoir generale d,3,,,,,,,,,comptoir generale d,,
22,1218-675792,1218-675792-gambon,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gambon""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gambon""~5","https://www.googleapis.com/books/v1/volumes?q=""gambon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,gambon,,,per,gambon,,,,,,,gambon,1,gambon,per,True,False,,,,per,gambon,,
23,1220-675792,1220-675792-lemaitre,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lemaitre""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lemaitre""~5","https://www.googleapis.com/books/v1/volumes?q=""lemaitre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,lemaitre,,,per,lemaitre,,,,,,,lemaitre,1,lemaitre,per,True,False,,,,per,lemaitre,,
24,1359-679543,1359-679543-botaine,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""botaine""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""botaine""~5","https://www.googleapis.com/books/v1/volumes?q=""botaine""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,botaine,,,ambig,botaine,,,,,,,botaine,1,botaine,ambig,True,,,,,ambig,botaine,,
