nom_original,wikidata_link,wikidata_id,wikidata_name,geonames_be_match,noms_unifie,wiki_unified,hist,p_wordlength_unified,wiki_nl,wiki_by_region,geschiedenis,p_wordlength_nl,lang_wiki_unified,extract,type,CP,Code Ins,ins_commune_centrale,Région,Province,commune_centrale,population_commune_centrale_2017
Aaigem,Aaigem,Q300813,Aaigem,Aaigem,Aaigem,https://fr.wikipedia.org/wiki/Aaigem,,1377,https://nl.wikipedia.org/wiki/Aaigem,https://nl.wikipedia.org/wiki/Aaigem,Geschiedenis,3562,fr,"Aaigem est une section de la commune belge d'Erpe-Mere située en Région flamande dans la province de Flandre-Orientale et le Denderstreek, sur le Molenbeek-Ter Erpenbeek.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,9420,41001,41082,Flandre,Flandre-Orientale,Erpe-Mere,19730
Aalbeke,Aalbeke,Q2603716,Aalbeke,Aalbeke,Aalbeke,https://fr.wikipedia.org/wiki/Aalbeke,,944,https://nl.wikipedia.org/wiki/Aalbeke,https://nl.wikipedia.org/wiki/Aalbeke,Geschiedenis,733,fr,"Aalbeke est une section de la ville belge de Courtrai située en Région flamande dans la province de Flandre-Occidentale. Jusqu'en 1977, c'était une commune à part entière. En picard, elle se nomme Ôbèke.",Localité,8511,34001,34022,Flandre,Flandre-Occidentale,Kortrijk,75736
,,,,,Aelbeke,https://fr.wikipedia.org/wiki/Aalbeke,,,,,,,,,,,34001,,,,,
AALST,Alost,Q13121,Alost,Alost,alst,https://fr.wikipedia.org/wiki/Alost,Histoire,2921,https://nl.wikipedia.org/wiki/Aalst_(Oost-Vlaanderen),https://nl.wikipedia.org/wiki/Aalst_(Oost-Vlaanderen),Geschiedenis,10653,fr,"Alost (en néerlandais Aalst et en dialecte local Oilsjt) est une ville dans le Denderstreek située en Région flamande, chef-lieu d'arrondissement en province de Flandre-Orientale sur la Dendre et sur le Molenbeek-Ter Erpenbeek. Elle se trouve à mi-chemin entre Bruxelles et Gand (dans la zone la plus densément peuplée de Belgique), et est le centre d'une conurbation (avec les communes de Erpe-Mere, Haaltert et Lede) comptant environ 130 000 habitants.",Ville,9300,41002,41002,Flandre,Flandre-Orientale,Aalst,84859
,,,,,Alost,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Алст,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,آلسٹ، بلجئیم,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Aelst,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,arusuto,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Aalst,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
