Nom De La Commune,Qid,wiki_unified,page_id,page_length,extract,localisation administrative,name_wikidata,geonameId,adminName4,adminName2,toponymName,Code Postal Ancien,Code Postal Actuel,Code Ins
Aaigem,Aaigem,https://fr.wikipedia.org/wiki/Aaigem,1685401,7392,"Aaigem est une section de la commune belge d'Erpe-Mere située en Région flamande dans la province de Flandre-Orientale et le Denderstreek, sur le Molenbeek-Ter Erpenbeek.
C'était une commune à part entière avant la fusion des communes de 1977.",Erpe-Mere,Aaigem,2803456,Erpe-Mere,Flandre-Orientale,Aaigem,9460,9420,41001
Aalbeke,Aalbeke,https://fr.wikipedia.org/wiki/Aalbeke,2684668,6393,"Aalbeke est une section de la ville belge de Courtrai située en Région flamande dans la province de Flandre-Occidentale. Jusqu'en 1977, c'était une commune à part entière. En picard, elle se nomme Ôbèke.",Courtrai,Aalbeke,2803454,Kortrijk,Flandre-Occidentale,Aalbeke,8511,8511,34001
AALST,Alost,https://fr.wikipedia.org/wiki/Alost,27206,14876,"Alost (en néerlandais Aalst et en dialecte local Oilsjt) est une ville dans le Denderstreek située en Région flamande, chef-lieu d'arrondissement en province de Flandre-Orientale sur la Dendre et sur le Molenbeek-Ter Erpenbeek. Elle se trouve à mi-chemin entre Bruxelles et Gand (dans la zone la plus densément peuplée de Belgique), et est le centre d'une conurbation (avec les communes de Erpe-Mere, Haaltert et Lede) comptant environ 130 000 habitants.",arrondissement administratif d'Alost,Alost,2803448,Alost,Flandre-Orientale,Aalst,9300,9300,41002
Aalst (Limburg),Alost,https://fr.wikipedia.org/wiki/Alost (Limbourg),3196236,1091,"Alost (Aalst en néerlandais) est une section de la ville belge de Saint-Trond située en Région flamande dans la province de Limbourg.

 Portail de la Belgique
 Portail de la Région flamande",Saint-Trond,Alost,2803448,Alost,Flandre-Orientale,Aalst,3815,3800,71001
AALTER,Aalter,https://fr.wikipedia.org/wiki/Aalter,193294,9619,"Aalter (en vieux français Aeltre) est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Orientale dans l'arrondissement administratif de Gand. Au 1er janvier 2007 la population de la commune était de 18 887 habitants répartis sur une surface totale de 81 92 km2 ce qui donne une densité de population de 231 habitant par km².
Le bourgmestre d'Aalter est Pieter De Crem.",Flandre-Orientale,Aalter,2803443,Aalter,Flandre-Orientale,Aalter,9880,9880,44001
AARSCHOT,Aarschot,https://fr.wikipedia.org/wiki/Aarschot,438032,8431,"Aarschot (anciennement écrit Aerschot, parfois encore utilisé en français) est une ville néerlandophone de Belgique située en Région flamande dans la province du Brabant flamand.",Brabant flamand,Aarschot,2803429,Aarschot,Brabant-Flamand,Aarschot,3220,3200,24001
Aarsele,Aarsele,https://fr.wikipedia.org/wiki/Aarsele,2977089,1185,"Aarsele est une section de la ville belge de Tielt située en Région flamande dans la province de Flandre-Occidentale.
C'était une commune à part entière avant la fusion des communes.",Tielt,Aarsele,2803427,Tielt,Flandre-Occidentale,Aarsele,8890,8700,37001
Aartrijke,Aartrijke,https://fr.wikipedia.org/wiki/Aartrijke,3101618,1179,"Aartrijke est une section de la commune belge de Zedelgem située en Région flamande dans la province de Flandre-Occidentale.
C'était une commune à part entière avant la fusion des communes.
 Portail de la Flandre-Occidentale",Zedelgem,Aartrijke,8521705,Zedelgem,Flandre-Occidentale,Aartrijke,8260,8211,31001
AARTSELAAR,Aartselaar,https://fr.wikipedia.org/wiki/Aartselaar,193328,7537,"Aartselaar (ancienne écriture : Aertselaer) est une commune néerlandophone de Belgique située en Région flamande, dans la province d'Anvers et l'arrondissement d'Anvers.
Au 1er mai 2017, Aartselaar avait une population totale de 14 275 habitants (7 096 hommes et 7 179 femmes). Sa surface totale est de 10,93 km², ce qui donne une densité de 1 306,04 habitants par km². La commune d'Aartselaar est située dans la banlieue sud d'Anvers. Elle est connue pour son moulin à vent (Heimolen), construit en 1801 ainsi que pour sa course à vélo Mémorial Rik Van Steenbergen.",Anvers,Aartselaar,2803420,Aartselaar,Anvers,Aartselaar,2630,2630,11001
Abée,Abée,https://fr.wikipedia.org/wiki/Abée (Belgique),1755612,1662,"Abée (en wallon Åbeye) est une section de la commune belge de Tinlot située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.",Tinlot,Abée,2803405,Tinlot,Liège,Abée,4154,4557,61001
Abolens,Abolens,https://fr.wikipedia.org/wiki/Abolens,1022612,673,"Abolens [abɔlɛ̃] (en wallon li Bôlin) est une section de la ville belge d'Hannut, située en Région wallonne dans la province de Liège.",Hannut,Abolens,2803396,Hannut,Liège,Abolens,4280,4280,64001
Achel,Achel,https://fr.wikipedia.org/wiki/Achel,3195275,4269,"Achel est un village à la frontière belgo-néérlandaise, qui fait aujourd'hui partie de la ville de Hamont-Achel dans la province de Limbourg (Région flamande de Belgique).

Il est surtout connu pour son abbaye cistercienne, dont la brasserie produit la bière trappiste appelée Achel.

",Hamont-Achel,Achel,2803391,Hamont-Achel,Limbourg,Achel,3590,3930,72001
Achêne,Achêne,https://fr.wikipedia.org/wiki/Achêne,921925,1602,"Achêne (en wallon Achinne) est une section de la ville belge de Ciney située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.

",Ciney,Achêne,2803388,Ciney,Namur,Achêne,5301,5590,91001
Achet,Achet,https://fr.wikipedia.org/wiki/Achet,1345416,3948,"Achet (en wallon Achet) est une section de la commune belge de Hamois située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.

",Hamois,Achet,2803385,Hamois,Namur,Achet,5362,5362,91002
Acosse,Acosse,https://fr.wikipedia.org/wiki/Acosse,1064140,1440,"Acosse (en wallon Åcosse) est une section de la commune belge de Wasseiges, située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.",Wasseiges,Acosse,2803354,Wasseiges,Liège,Acosse,5082,4219,64002
Acoz,Acoz,https://fr.wikipedia.org/wiki/Acoz,272591,6907,"Acoz [ako] (en wallon Åcoz) est une section de la commune belge de Gerpinnes, située en Région wallonne dans la province de Hainaut.
C'était une commune à part entière avant la fusion des communes de 1977.
C'est aussi le nom d'un cours d'eau qui la traverse et se jette dans la Sambre à Châtelet. Sur le territoire de l'ancienne commune se trouve le hameau de Lausprelle.",Gerpinnes,Acoz,2803352,Gerpinnes,Hainaut,Acoz,6280,6280,52001
Adegem,Adegem,https://fr.wikipedia.org/wiki/Adegem,1691453,4740,"Adegem est une section de la commune de Maldegem, située en Belgique en Région flamande dans la province de Flandre-Orientale. Le village, situé dans le Meetjesland, était une commune indépendante jusqu'à la fin de 1976.
Le nom du village est cité pour la première fois en 840 : il est un des plus vieux villages de la province de Flandre-Orientale.",Maldegem,Adegem,2803347,Maldegem,Flandre-Orientale,Adegem,9991,9991,43001
Adinkerke,Adinkerke,https://fr.wikipedia.org/wiki/Adinkerque,3101636,24291,"Adinkerque (en néerlandais : Adinkerke , en flamand occidental : adiengkerke ou oyenkerke) est une section de la commune belge de La Panne située en Région flamande dans la province de Flandre-Occidentale, elle se situe dans la banlieue de la ville côtière de La Panne à laquelle elle est rattachée. Elle se trouve dans le Westhoek, le long de la frontière française, à trois kilomètres de la côte, sur le canal Nieuport-Dunkerque.",La Panne,Adinkerke,2803343,De Panne,Flandre-Occidentale,Adinkerke,8478,8660,38001
AFFLIGEM,Affligem,https://fr.wikipedia.org/wiki/Affligem,581521,6535,"Affligem (anciennement écrit Afflighem) est une commune néerlandophone de Belgique située en Région flamande dans la province du Brabant flamand. Les communes limitrophes sont : Alost (au nord et à l'ouest), Denderleeuw (au sud-ouest), Liedekerke (au sud), Ternat (au sud-est) et Asse (à l'est).
En Belgique, c'est presque tous les jours qu'on entend le nom d'Affligem à la radio : c'est un goulet d'étranglement sur l’autoroute E40 Ostende-Bruxelles et il s'y forme des bouchons. Affligem dispose de sa propre sortie : la 19a, et d'un parc relais pour le covoiturage.
Comme il ne s'agit pas d'une « commune à facilités », les autorités ont pris la décision de recouvrir avec des feuilles blanches les affiches électorales en français à l'occasion des élections régionales et européennes du 7 juin 2009.",Brabant flamand,Affligem,2785736,Affligem,Brabant-Flamand,Teralfene,1790,1790,23105
Afsnee,Afsnee,https://fr.wikipedia.org/wiki/Afsnee,3181524,1036,"Afsnee est une section de la ville belge de Gand, au bord de la Lys, située en Région flamande dans la province de Flandre-Orientale.

 Portail de la Flandre-Orientale",Gand,Afsnee,2803338,Gand,Flandre-Orientale,Afsnee,9821,9051,44002
Agimont,Agimont,https://fr.wikipedia.org/wiki/Agimont,1022661,1962,"Agimont (en wallon Nådjumont) est une section de la commune belge d'Hastière située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Hastière,Agimont,2803334,Hastière,Namur,Agimont,5544,5544,93001
Aineffe,Aineffe,https://fr.wikipedia.org/wiki/Aineffe,1001034,7141,"Aineffe (en wallon Ainefe)[réf. nécessaire] est une section de la commune belge de Faimes, située en Région wallonne dans la province de Liège. Sa superficie est de 321 ha.
C'était une commune à part entière avant la fusion des communes de 1977.",Faimes,Aineffe,2803328,Faimes,Liège,Aineffe,4383,4317,61002
Aische-en-Refail,Aische-en-Refail,https://fr.wikipedia.org/wiki/Aische-en-Refail,1005176,2168,"Aische-en-Refail [ɛʃɑ̃ʀəfaj] (en wallon Yache) est une section de la commune belge d'Éghezée située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Éghezée,Aische-en-Refail,2803325,Éghezée,Namur,Aische-en-Refail,5053,5310,92001
Aiseau,Aiseau,https://fr.wikipedia.org/wiki/Aiseau,47965,12316,"Aiseau (en wallon Åjhô) est un village belge de la commune d’Aiseau-Presles situé en Région wallonne dans la province de Hainaut, sur la Biesme, non loin de l’embouchure de celle-ci dans la Sambre. C'était une commune à part entière avant la fusion des communes de 1977.",Aiseau-Presles,Aiseau,2803323,Aiseau-Presles,Hainaut,Aiseau,6268,6250,52002
AISEAU-PRESLES,Aiseau-Presles,https://fr.wikipedia.org/wiki/Aiseau-Presles,19116,4845,Aiseau-Presles [ezopʁɛl] (en wallon Åjhô-Préle) est une commune francophone de Belgique située en Région wallonne dans la province de Hainaut.,Hainaut,Aiseau-Presles,7910828,Aiseau-Presles,Hainaut,Aiseau-Presles,6268,6250,52074
Aisemont,Aisemont,https://fr.wikipedia.org/wiki/Aisemont,1020586,1427,"Aisemont (en wallon Ezemonts) est une section de la ville belge de Fosses-la-Ville située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Fosses-la-Ville,Aisemont,2803320,Fosses-la-Ville,Namur,Aisemont,5665,5070,92002
ALKEN,Alken,https://fr.wikipedia.org/wiki/Alken (Belgique),234411,6939,"Alken est une commune néerlandophone de Belgique située en Région flamande dans la province de Limbourg, non loin de Hasselt.",Limbourg,Alken,2803285,Alken,Limbourg,Alken,3820,3570,73001
Alle,Alle,https://fr.wikipedia.org/wiki/Alle (Belgique),1441484,1933,"Alle (en wallon Yåle) ou Alle-sur-Semois est une section de la commune belge de Vresse-sur-Semois située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.
Joseph Pierret, instituteur du village d'Alle, tente à partir de 1855 de cultiver le tabac à grande échelle. Progressivement, son succès incite de nombreux habitants de la vallée de la Semois à l'imiter. Des séchoirs à tabac sont témoins de ce passé.",Vresse-sur-Semois,Alle,2803281,Vresse-sur-Semois,Namur,Alle,6848,5550,91003
Alleur,Alleur,https://fr.wikipedia.org/wiki/Alleur,284760,7085,"Alleur (en wallon Aleur) est une section de la commune belge d'Ans située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.
L'ancienne commune de Xhendremael fusionna avec elle le 17 juillet 1970.

",,Alleur,2803278,Ans,Liège,Alleur,4430,4432,62001
Alsemberg,Alsemberg,https://fr.wikipedia.org/wiki/Alsemberg,665031,1321,Alsemberg est une section de la commune belge de Beersel située en Région flamande dans la province du Brabant flamand.,Beersel,Alsemberg,2803266,Beersel,Brabant-Flamand,Alsemberg,1641,1652,23001
ALVERINGEM,Alveringem,https://fr.wikipedia.org/wiki/Alveringem,520009,7415,Alveringem est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Occidentale.,Flandre-Occidentale,Alveringem,2803252,Alveringem,Flandre-Occidentale,Alveringem,8190,8690,38002
AMAY,Amay,https://fr.wikipedia.org/wiki/Amay,4697038,7834,"Amay (en wallon Ama) est une commune francophone de Belgique située en Région wallonne dans la province de Liège et l’arrondissement de Huy. Elle regroupe les anciennes communes d'Amay, Ampsin, Flône, Jehay et Ombret-Rawsa.
Elle fait partie de la zone de police Meuse-Hesbaye avec les communes d’Engis, Saint-Georges-sur-Meuse, Villers-le-Bouillet, Verlaine et Wanze.",Liège,Amay,2803246,Amay,Liège,Amay,4140,4540,61003
Amberloup,Amberloup,https://fr.wikipedia.org/wiki/Amberloup,1002266,4205,"Amberloup (en wallon Amberlou) est un village au cœur de l'Ardenne belge, en rive droite de l'Ourthe supérieure. Il fait administrativement partie de la commune belge de Sainte-Ode située en Région wallonne dans la province de Luxembourg dont il abrite la maison communale'. C'était une commune à part entière avant la fusion des communes de 1977.",Sainte-Ode,Amberloup,2803244,Sainte-Ode,Luxembourg,Amberloup,6960,6680,82001
