ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2783081,Zwijndrecht,"Zuindracum,Звейндрехт,ci wei en de lei he te,Zvejndrekht,Zwijndrecht,Zwyndrecht,زوئیژندرکت,zwyyzhndrkt,兹韦恩德雷赫特",51.21979,4.32664,P,PPL,BE,,VLG,VAN,11,11056,18249,,7,Europe/Brussels,2011-02-07
2783083,Zwijnaardsedries,"Zwynaerdschedries,Zwijnaardsedries",51.02028,3.72428,P,PPL,BE,,VLG,VOV,44,44021,0,,7,Europe/Brussels,2016-08-02
2783084,Zwijnaarde,"Zwijnaarde,Zwynaerde",51.00077,3.70746,P,PPL,BE,,VLG,VOV,44,44021,0,,6,Europe/Brussels,2016-08-02
2783086,Zwijn,Zwijn,51.05464,4.19122,P,PPL,BE,,VLG,VOV,42,42008,0,,2,Europe/Brussels,2016-08-02
2783087,Zwevezele,"Swevezeele,Zwevezele",51.03683,3.21186,P,PPL,BE,,VLG,VWV,37,37018,0,,38,Europe/Brussels,2012-01-18
2783089,Zwevegem,"兹韦弗海姆,Звевегем,ci wei fu hai mu,Sweveghem,Zvevegem,zwywwzhm,Zwevehem,زوئووژم,Zwevegem",50.81268,3.33848,P,PPL,BE,,VLG,VWV,34,34042,23358,,30,Europe/Brussels,2012-01-18
2783095,Zwartwater,Zwartwater,51,5.03333,P,PPL,BE,,WAL,WHT,,,0,,51,Europe/Brussels,2010-03-06
2783099,Zwartpaard,"Zwart Peerd,Zwarte-Peerd,Zwart-Paerd,Zwartpaard",51.01667,2.66667,P,PPL,BE,,VLG,VWV,38,38025,0,,5,Europe/Brussels,2016-08-02
2783105,Zwarten Ruiter,Zwarten Ruiter,51.18782,3.97402,P,PPL,BE,,VLG,VOV,44,44045,0,,4,Europe/Brussels,2016-08-02
2783106,Zwartenhoek,"Zwartenhoek,Zwarte Hoek",51.09335,5.11949,P,PPL,BE,,VLG,VLI,71,71069,0,,24,Europe/Brussels,2016-08-02
2783107,Zwartenheuvel,Zwartenheuvel,51.38882,4.4529,P,PPL,BE,,VLG,VAN,11,11022,0,,20,Europe/Brussels,2016-08-02
2783110,Zwartenbroek,Zwartenbroek,50.88333,3.73333,P,PPL,BE,,VLG,VOV,45,45065,0,,42,Europe/Brussels,2016-08-02
2783111,Zwarteleen,Zwarteleen,50.82637,2.92895,P,PPL,BE,,VLG,VWV,33,33011,0,,53,Europe/Brussels,2016-08-02
2783112,Zwarteinde,Zwarteinde,50.88945,5.23911,P,PPL,BE,,VLG,VLI,71,71045,0,,56,Europe/Brussels,2016-08-02
2783113,Zwartegat,Zwartegat,50.97605,3.65825,P,PPL,BE,,VLG,VOV,44,44048,0,,9,Europe/Brussels,2016-08-02
2783114,Zwartegat,Zwartegat,50.98085,2.91638,P,PPL,BE,,VLG,VWV,32,32006,0,,11,Europe/Brussels,2016-08-02
2783119,Zwartberg,"Zwartberg,Zwartberg-Cites,Zwartberg-Cités",51.01288,5.51796,P,PPL,BE,,VLG,VLI,71,71016,0,,81,Europe/Brussels,2016-08-02
2783120,Zwankendamme,Zwankendamme,51.3098,3.19611,P,PPL,BE,,VLG,VWV,31,31005,0,,1,Europe/Brussels,2016-08-02
2783121,Zwaneven,"Het Zwaneven,Zwaneven",51.30774,5.0109,P,PPL,BE,,VLG,VAN,13,13031,0,,29,Europe/Brussels,2016-08-02
2783122,Zwanenhoek,Zwanenhoek,51.21667,4.13333,P,PPL,BE,,VLG,VOV,46,46020,0,,3,Europe/Brussels,2016-08-02
2783123,Zwanenberg,Zwanenberg,51.41667,4.48333,P,PPL,BE,,VLG,VAN,11,11022,0,,13,Europe/Brussels,2016-08-02
