,Nom,Employeur,Poste,Rémunéré?,nombreRemuneres,NombreMandats,langue,début,fin,extract_lieux_be
0,Abad Gonzalez Françoise,,,,3.0,7.0,FR,,,
1,,Châtelet (ville de),Echevine,Rémunéré,,,FR,,,chatelet
2,,ORPSS,Conseillère Générale,Rémunéré,,,FR,,,
3,,Gestion Centre Ville asbl,Administratrice,Non rémunéré,,,FR,,,
4,,Le Logis Châtelettain scrl,Administratrice,Rémunéré,,,FR,,,
5,,Maison du Peuple scrl,Présidente,Non rémunéré,,,FR,,,
6,,Kiwanis Châtelet,Trésorière,Non rémunéré,,,FR,,,chatelet
7,,Syndicat d'Initiative de Bouffioulx asbl,Présidente,Non rémunéré,,,FR,,,bouffioulx
8,Abad-Perick Myriam,,,,8.0,15.0,FR,,,
9,,Province de Liège,Conseillère Provinciale,Rémunéré,,,FR,,,liege
10,,Blégny (Commune de),Conseillère Communale,Non rémunéré,,,FR,,,blegny
11,,Blégny (Commune de),Présidente De Cpas/conseil De L'action Sociale,Rémunéré,,,FR,,,blegny
12,,INTRADEL,Administratrice,Non rémunéré,,,FR,,,
13,,INTRADEL,Membre Du Comité De Direction,Rémunéré,,,FR,,,
14,,"Gouvernement de la Communauté française, Enseignement de Promotion sociale, Jeunesse, Droits des femmes et Égalité des chances",Experte (à Temps Partiel),Rémunéré,,,FR,,,
15,,Blegny Move asbl,Présidente,Non rémunéré,,,FR,,,blegny
16,,Domaine touristique de Blégny-Mine,Administratrice,Non rémunéré,,,FR,,,blegny
17,,Foyer de la Région de Fléron (le),Administratrice,Rémunéré,,,FR,,,fleron
18,,Terre et Foyer sc,Vice-présidente Du Conseil D'administration,Rémunéré,,,FR,,,
19,,Assoc. Chapitre XII Maintien à domicile en Pays de Liège,Administratrice-déléguée,Non rémunéré,,,FR,,,liege
20,,CREF,Administratrice,Non rémunéré,,,FR,,,
21,,La Ligne droite asbl,Administratrice,Non rémunéré,,,FR,,,ligne
22,,,Infirmière,Rémunéré,,,FR,,,
23,,Conseil provincial de Liège,Première Secrétaire,Rémunéré,,,FR,,,liege
24,Abbeloos Dirk,,,,4.0,13.0,NL,,,
25,,Dendermonde (Stad),Schepen,Rémunéré,,,NL,,,dendermonde
26,,DDS,Bestuurder,Rémunéré,,,NL,,,
27,,VERKO,Bestuurder,Rémunéré,,,NL,21/01/2016,,
28,,Jeugdhuis Zenith,Vertegenwoordiger,Non rémunéré,,,NL,,,
29,,Streekplatform,Vereffenaar,Non rémunéré,,,NL,,,
30,,UNIZO Afdeling Dendermonde,Bestuurder,Non rémunéré,,,NL,,,dendermonde
31,,Gemeentelijke Holding NV,Vertegenwoordiger,Non rémunéré,,,NL,,,
32,,,Zaakvoerder,Rémunéré,,,NL,,,
33,,AGB Dendermonde,Afgevaardigd Beheerder,Non rémunéré,,,NL,,,dendermonde
34,,Bosgroep Midden-Vlaanderen,Bestuurder,Non rémunéré,,,NL,,,
35,,Heemskring Sint-Gillis,Voorzitter,Non rémunéré,,,NL,,,sint gillis
36,,Sint-Gillis (Gemeente),Lid Corsocomité,Non rémunéré,,,NL,,,sint gillis
37,,Subsidiëring Sportinfrastructuur,Lid Van De Subsidiecommissie,Non rémunéré,,,NL,,,
38,Abel Frédérique,,,,5.0,6.0,FR,,,
39,,Thuin (Ville de),Conseillère Communale,Rémunéré,,,FR,,,thuin
40,,IPALLE Sud-Hainaut (anciennement INTERSUD),Administratrice,Rémunéré,,,FR,,,
41,,Foyer de la Haute Sambre sc (le),Administratrice,Rémunéré,,,FR,,,
42,,Promo-Thuin asbl,Trésorière,Non rémunéré,,,FR,,,thuin
43,,Zone de police GERMINALT,Membre Du Conseil De Police,Rémunéré,,,FR,,,
44,,,Educatrice Spécialisée,Rémunéré,,,FR,,,
45,Abelshausen Werner,,,,6.0,10.0,NL,,,
46,,FAMIFED,Lid Van Het Beheerscomité,Rémunéré,,,NL,,,
47,,Rijksdienst voor Sociale Zekerheid (beheer),Lid Van Het Beheerscomité,Rémunéré,,,NL,,,
48,,Beheerscomité van de Sociale Zekerheid,Lid,Rémunéré,,,NL,,,
49,,Nationaal Pensioencomité,Lid,Non rémunéré,,,NL,,,
50,,Paritair Fonds voor de Professionele en Syndicale Vor-ming in de Banksector,Bestuurder,Non rémunéré,,,NL,,,
51,,Paritair Comité voor de Banken (PC 310),Lid,Non rémunéré,,,NL,,,
52,,Arbeidshof Antwerpen,Raadsheer In Sociale Zaken,Rémunéré,,,NL,12/07/2016,,antwerpen
53,,Febelfin Academy VZW,Chairman-managing Director,Non rémunéré,,,NL,,,
54,,Febelfin VZW,Director Social Affairs & Training,Rémunéré,,,NL,,,
55,,Nederlandstalige Arbeidsrechtbank van Brussel,Rechter In Sociale Zaken,Rémunéré,,,NL,,12/07/2016,brussel
56,Abid Rachida,,,,2.0,3.0,NL,,,
57,,Wielsbeke (Gemeente),Schepen,Rémunéré,,,NL,,,wielsbeke
58,,KSC Wielsbeke,Bestuurder,Non rémunéré,,,NL,,,wielsbeke
59,,,Thuisverpleegster,Rémunéré,,,NL,,,
60,Abrahams Gui,,,,5.0,5.0,NL,,,
61,,Gingelom (Gemeente),Ocmw-voorzitter,Rémunéré,,,NL,,,gingelom
62,,Gingelom (Gemeente),Schepen,Rémunéré,,,NL,,,gingelom
63,,IGL,Bestuurder,Rémunéré,,,NL,15/04/2016,,
64,,IGL,Lid Van Het Directiecomité,Rémunéré,,,NL,15/04/2016,,
65,,,Bediende,Rémunéré,,,NL,,,
66,Abrassart Anne,,,,3.0,8.0,FR,,,
67,,Etalle (Commune d'),Echevine,Rémunéré,,,FR,,,etalle
68,,CCA,Administratrice,Non rémunéré,,,FR,,,
69,,Zone de police de Gaume,Membre Du Conseil De Police,Rémunéré,,,FR,,,
70,,,Secrétaire,Rémunéré,,,FR,,,
71,,Gestion des Complexes sportifs stabulois,Présidente,Non rémunéré,,,FR,,,
72,,La Roseraie,Administratrice,Non rémunéré,,,FR,,,
73,,Stabulaccueil asbl,Administratrice - Trésorière,Non rémunéré,,,FR,,,
74,,Tennis Club Stabulois asbl,Administratrice,Non rémunéré,,,FR,,,
75,Absil Coraline,,,,9.0,10.0,FR,,,
76,,Province de Namur,Députée Provinciale,Rémunéré,,,FR,,,namur
77,,BEP Environnement,Administratrice,Rémunéré,,,FR,,,
78,,IMAJE,Administratrice,Rémunéré,,,FR,,22/01/2016,
79,,IMAJE,Membre Du Comité De Direction,Rémunéré,,,FR,,22/01/2016,
80,,INASEP,Administratrice,Rémunéré,,,FR,,,
81,,INASEP,Membre Du Comité De Gestion,Rémunéré,,,FR,,,
82,,Fondation Gouverneur René Close,Administratrice,Non rémunéré,,,FR,,,
83,,INASEP,Membre Du Collège De Présidence,Rémunéré,,,FR,,,
84,,INASEP,Membre Du Comité De Concertation / Négociation,Rémunéré,,,FR,,,
85,,INASEP,Membre Du Comité De Prévention Et De Protection Au Travail,Rémunéré,,,FR,,,
86,Absillis Albert,,,,1.0,2.0,NL,,,
87,,Havi-GIS,Vereffenaar,Non rémunéré,,,NL,,,
88,,,Gepensioneerde,Rémunéré,,,NL,,,
89,Accou Ann,,,,4.0,4.0,NL,,,
90,,Deerlijk (Gemeente),Schepen,Rémunéré,,,NL,,,deerlijk
91,,Farys,Lid Van Het Directiecomité,Rémunéré,,,NL,28/09/2016,,
92,,Politiezone Gavers,Lid Van De Politieraad,Rémunéré,,,NL,,,
93,,,Bediende,Rémunéré,,,NL,,,
94,Achten Dirk,,,,3.0,3.0,NL,,,
95,,"FOD Buitenlandse Zaken, Buitenlandse Handel en Ont-wikkelingssamenwerking",Voorzitter Van Het Directiecomité,Rémunéré,,,NL,,,
96,,Belgisch-Luxemburgse Administratieve Commissie,Voorzitter,Rémunéré,,,NL,,,
97,,Internationaal Bureau voor Douanetarieven,Voorzitter,Rémunéré,,,NL,,,
98,Achten Geert,,,,3.0,4.0,NL,,,
99,,Hoeselt (Gemeente),Gemeenteraadslid,Rémunéré,,,NL,,,hoeselt
100,,Inter-Media,Bestuurder,Rémunéré,,,NL,,,
101,,Limburg.net,Bestuurder,Rémunéré,,,NL,,22/06/2016,
102,,N-VA afdeling Hoeselt,Fractieleider,Non rémunéré,,,NL,,,hoeselt
103,Achten Jules,,,,1.0,3.0,NL,,,
104,,Zonhoven (Gemeente),Schepen,Rémunéré,,,NL,,,zonhoven
105,,Sociaal Verhuurkantoor Midden-Limburg VZW,Bestuurder,Non rémunéré,,,NL,,,limburg
106,,Sociaal Verhuurkantoor Midden-Limburg VZW,Voorzitter Van De Raad Van Bestuur,Non rémunéré,,,NL,,01/03/2016,limburg
107,Open VLD (Plaatselijke afdeling),,Bestuurslid,Non rémunéré,0.0,,NL,,,
108,Achten Niels,,,,4.0,6.0,NL,,,
109,,Neerpelt (Gemeente),Gemeenteraadslid,Rémunéré,,,NL,,,neerpelt
110,,Nolimpark DV,Bestuurder,Rémunéré,,,NL,,,
111,,Politiezone HANO,Lid Van De Politieraad,Rémunéré,,,NL,,,
112,,CD&V (Plaatselijke afdeling),Bestuurder,Non rémunéré,,,NL,,,
113,,,Zaakvoerder,Rémunéré,,,NL,,,
114,,Groene Kring Gewest Neerpelt,Kernlid,Non rémunéré,,,NL,,,neerpelt
115,Acke Frank,,,,4.0,10.0,NL,,,
116,,Wevelgem (Gemeente),Ocmw-voorzitter,Rémunéré,,,NL,01/01/2016,,wevelgem
117,,Wevelgem (Gemeente),Schepen,Rémunéré,,,NL,,,wevelgem
118,,W13,Bestuurder,Non rémunéré,,,NL,,,
119,,De Poort VZW,Bestuurder,Non rémunéré,,,NL,01/02/2016,,
120,,De Vlashaard CVBA,Bestuurder,Rémunéré,,,NL,,,
121,,CAW Zuid-West-Vlaanderen VZW,Teamcoördinator,Rémunéré,,,NL,,,
122,,CD&V Afdeling Wevelgem,Bestuurslid,Non rémunéré,,,NL,,,wevelgem
123,,De Kringloopwinkel VZW,Bestuurder,Non rémunéré,,,NL,01/03/2016,,
124,,Sociale Economie VZW,Lid Van Het Dagelijks Bestuur,Non rémunéré,,,NL,,,
125,,Woonzorgcentrum Sint-Jozef Moorsele,Lid Van Het Directiecomité,Non rémunéré,,,NL,,,moorsele
126,Acke Martin,,,,3.0,17.0,NL,,,
127,,Zelzate (Gemeente),Lid Van Een Gemeenteraadscommissie,Non rémunéré,,,NL,,,zelzate
128,,Zelzate (Gemeente),Schepen,Rémunéré,,,NL,,,zelzate
129,,Zelzate (Gemeente),Voorzitter Van De Gemeenteraad,Non rémunéré,,,NL,,,zelzate
130,,Farys,Lid Van Het Directiecomité,Rémunéré,,,NL,,,
131,,FINIWO,Lid Van Een Regionaal Adviescomité,Rémunéré,,,NL,,,
132,,Plaatselijk Werkgelegenheidsagentschap Zelzate VZW,Bestuurder,Non rémunéré,,,NL,,,zelzate
133,,Toerisme Meetjesland VZW,Bestuurder,Non rémunéré,,,NL,,,
134,,Verbroederingscomité Zelzate,Bestuurder,Non rémunéré,,,NL,,,zelzate
135,,N-VA (Plaatselijke afdeling),Bestuurder,Non rémunéré,,,NL,,,
136,,N-VA Arrondissement Gent-Eeklo,Bestuurder,Non rémunéré,,,NL,,,gent||eeklo
137,,Buurtcomité Vette Gras,Voorzitter,Non rémunéré,,,NL,,,
138,,Gemeentelijke Begeleidingscommissie Mobiliteit,Voorzitter,Non rémunéré,,,NL,,,
139,,Gemeentelijke Marktcommissie,Bestuurder,Non rémunéré,,,NL,,,
140,,Grensoverschrijdend Openbaar Lichaam Kanaalzone,Bestuurder,Non rémunéré,,,NL,,,
141,,Lokale Economische Adviesraad,Voorzitter,Non rémunéré,,,NL,,,
142,,Stuurgroep PPS WZC Bloemenbos OCMW-Zelzate,Bestuurder,Non rémunéré,,,NL,,,zelzate
143,,Zelzaatse Watersportvereniging VZW,Bestuurder,Non rémunéré,,,NL,,,
144,Adam André,,,,1.0,4.0,FR,,,
145,,Saint-Hubert (ville de),Président De Cpas/conseil De L'action Sociale,Rémunéré,,,FR,,,saint-hubert
146,,Agence immobilière sociale Centre-Ardenne,Administrateur,Non rémunéré,,,FR,,,
147,,Association Chapitre XII Défits,Vice-président,Non rémunéré,,,FR,,,
148,,Ardenne et Lesse,Membre,Non rémunéré,,,FR,,,
149,Adam Jean-Claude,,,,4.0,6.0,FR,,,
150,,Martelange (Commune de),Echevin,Rémunéré,,,FR,07/01/2016,,martelange
151,,Martelange (commune de),Président De Cpas/conseil De L'action Sociale,Rémunéré,,,FR,,07/01/2016,martelange
152,,Syndicat d'Initiative communal,Trésorier,Non rémunéré,,,FR,,,
153,,Zone de police Arlon/Attert/Habay/Martelange,Membre Du Conseil De Police,Rémunéré,,,FR,01/01/2016,,
154,,,Retraité,Rémunéré,,,FR,,,
155,,Tennis Club de Martelange asbl,Secrétaire,Non rémunéré,,,FR,,,martelange
156,Adam John,,,,2.0,5.0,NL,,,
157,,Oudenaarde (Stad),Schepen,Rémunéré,,,NL,,,oudenaarde
158,,Open VLD (Plaatselijke afdeling),Bestuurslid,Non rémunéré,,,NL,,,
159,,,Technicus,Rémunéré,,,NL,,,
160,,Feestcomité Ename,Bestuurslid,Non rémunéré,,,NL,,,ename
161,,Open VLD Ename-Nederame,Bestuurslid,Non rémunéré,,,NL,,,ename
162,Adam Patrick,,,,7.0,16.0,FR,,,
163,,Province de Luxembourg,Député Provincial,Rémunéré,,,FR,,,
164,,IDELUX,Administrateur,Rémunéré,,,FR,,,
165,,IDELUX Projets Publics,Administrateur,Non rémunéré,,,FR,,,
166,,Intercommunale de mutualisation informatique et organisationnelle,Administrateur,Non rémunéré,,,FR,,,
167,,Vivalia,Administrateur,Rémunéré,,,FR,,,
168,,Agence Prévention et Sécurité,Administrateur - Rapporteur,Non rémunéré,,,FR,,,
169,,Commission paritaire locale Enseignement,Membre,Non rémunéré,,,FR,,,
170,,Fédération touristique du Luxembourg belge FTLB,Administrateur,Non rémunéré,,,FR,,,
171,,Conseil de l'Enseignement des Communes et des Provinces,Administrateur,Rémunéré,,,FR,,,
172,,Aube asbl,Président,Non rémunéré,,,FR,12/05/2016,,
173,,Association des Provinces wallonnes APW,Administrateur,Rémunéré,,,FR,,,
174,,Chambre de commerce et d'industrie du Luxembourg belge,Administrateur,Non rémunéré,,,FR,,,
175,,Adinfo,Administrateur,Rémunéré,,,FR,,,
176,,LOTH-INFO,Administrateur,Rémunéré,,,FR,,,
177,,CLAP asbl,Administrateur,Non rémunéré,,,FR,,,
178,,Luxul asbl,Administrateur,Non rémunéré,,,FR,01/07/2016,,
179,Adam Philippe,,,,1.0,5.0,FR,,,
180,,SPAQuE - Société Publique d'Aide à la Qualité de l'Environnement,Administrateur Directeur,Rémunéré,,,FR,01/01/2016,,
181,,DGL Maintenance sa,Administrateur,Non rémunéré,,,FR,,,
182,,Gépart sa,Président Du Conseil D'administration,Non rémunéré,,,FR,,,
183,,SEDISOL sa,Administrateur,Non rémunéré,,,FR,,,
184,,SILYA sa,Président Du Conseil D'administration,Non rémunéré,,,FR,,,
185,Adam Raphaël,,,,2.0,3.0,FR,,,
186,,Doische (Commune de),Echevin,Rémunéré,,,FR,,,doische
187,,Adelma Invest sa,Administrateur,Non rémunéré,,,FR,,,
188,,Revelart-Adam snc,Administrateur,Rémunéré,,,FR,,,
189,Adams Greetje,,,,2.0,2.0,NL,,,
190,,Tongeren (Stad),Gemeenteraadslid,Rémunéré,,,NL,,,tongeren
