,Column,unique_id_query,visit_id,unique_id_match,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries,extract_geonames,extract_persons,wikidata_loc,json_geonames
0,0,22-650707,650707,22-650707-rommel,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rommel""~5","https://www.googleapis.com/books/v1/volumes?q=""rommel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,rommel,1.0,rommel,,per,True,False,,per,rommel,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
1,1,85-652941,652941,85-652941-carette,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""carette leuven""~5","https://www.googleapis.com/books/v1/volumes?q=""carette+leuven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,carette leuven,2.0,carette,,per,True,False,,per,carette leuven,leuven,,None,"{'totalResultsCount': 805, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.763517934346493, 'south': 50.840130114847696, 'north': 50.919049062351306, 'west': 4.638332766031927, 'accuracyLevel': 2}, 'asciiName': 'Leuven', 'countryId': '2802361', 'fcl': 'P', 'score': 130.70785522460938, 'adminId2': '3333250', 'adminId3': '2792481', 'countryCode': 'BE', 'adminId4': '2792483', 'adminId1': '3337388', 'lat': '50.87959', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VBR', 'adminCode3': '24', 'adminCode1': 'VLG', 'lng': '4.70093', 'geonameId': 2792482, 'toponymName': 'Leuven', 'adminCode4': '24062', 'population': 92892, 'adminName5': '', 'adminName4': 'Leuven', 'adminName3': 'Arrondissement Leuven', 'alternateNames': [{'name': 'Льовен', 'lang': 'bg'}, {'name': 'Lovaň', 'lang': 'cs'}, {'name': 'Löwen', 'lang': 'de'}, {'name': 'Λέουβεν', 'lang': 'el'}, {'name': 'Leuven', 'lang': 'en'}, {'name': 'Loveno', 'lang': 'eo'}, {'name': 'Lovaina', 'lang': 'es'}, {'name': 'Leuven', 'lang': 'fi'}, {'name': 'Louvain', 'lang': 'fr'}, {'name': 'ZGK', 'lang': 'iata'}, {'name': 'Lovanio', 'lang': 'it'}, {'name': 'レーヴェン', 'lang': 'ja'}, {'name': 'Lovanium', 'lang': 'la'}, {'name': 'Leuve', 'lang': 'li'}, {'name': 'http://ru.wikipedia.org/wiki/%D0%9B%D1%91%D0%B2%D0%B5%D0%BD', 'lang': 'link'}, {'name': 'Leuven', 'lang': 'nl'}, {'name': 'Leuven', 'lang': 'pl'}, {'name': '3000', 'lang': 'post'}, {'name': 'Lovaina', 'lang': 'pt'}, {'name': 'Louvain', 'lang': 'ro'}, {'name': 'Лёвен', 'lang': 'ru'}, {'name': 'Лувен', 'lang': 'sr'}, {'name': 'Leuven', 'lang': 'sv'}, {'name': 'Leuven', 'lang': 'tr'}, {'name': 'LEU', 'lang': 'unlc'}, {'name': '鲁汶', 'lang': 'zh'}], 'adminName2': 'Flemish Brabant Province', 'name': 'Leuven', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
2,2,85-652941,652941,85-652941-leuven,,,,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,carette leuven,2.0,leuven,True,loc,True,,,loc,carette leuven,leuven,,None,"{'totalResultsCount': 805, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.763517934346493, 'south': 50.840130114847696, 'north': 50.919049062351306, 'west': 4.638332766031927, 'accuracyLevel': 2}, 'asciiName': 'Leuven', 'countryId': '2802361', 'fcl': 'P', 'score': 130.70785522460938, 'adminId2': '3333250', 'adminId3': '2792481', 'countryCode': 'BE', 'adminId4': '2792483', 'adminId1': '3337388', 'lat': '50.87959', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VBR', 'adminCode3': '24', 'adminCode1': 'VLG', 'lng': '4.70093', 'geonameId': 2792482, 'toponymName': 'Leuven', 'adminCode4': '24062', 'population': 92892, 'adminName5': '', 'adminName4': 'Leuven', 'adminName3': 'Arrondissement Leuven', 'alternateNames': [{'name': 'Льовен', 'lang': 'bg'}, {'name': 'Lovaň', 'lang': 'cs'}, {'name': 'Löwen', 'lang': 'de'}, {'name': 'Λέουβεν', 'lang': 'el'}, {'name': 'Leuven', 'lang': 'en'}, {'name': 'Loveno', 'lang': 'eo'}, {'name': 'Lovaina', 'lang': 'es'}, {'name': 'Leuven', 'lang': 'fi'}, {'name': 'Louvain', 'lang': 'fr'}, {'name': 'ZGK', 'lang': 'iata'}, {'name': 'Lovanio', 'lang': 'it'}, {'name': 'レーヴェン', 'lang': 'ja'}, {'name': 'Lovanium', 'lang': 'la'}, {'name': 'Leuve', 'lang': 'li'}, {'name': 'http://ru.wikipedia.org/wiki/%D0%9B%D1%91%D0%B2%D0%B5%D0%BD', 'lang': 'link'}, {'name': 'Leuven', 'lang': 'nl'}, {'name': 'Leuven', 'lang': 'pl'}, {'name': '3000', 'lang': 'post'}, {'name': 'Lovaina', 'lang': 'pt'}, {'name': 'Louvain', 'lang': 'ro'}, {'name': 'Лёвен', 'lang': 'ru'}, {'name': 'Лувен', 'lang': 'sr'}, {'name': 'Leuven', 'lang': 'sv'}, {'name': 'Leuven', 'lang': 'tr'}, {'name': 'LEU', 'lang': 'unlc'}, {'name': '鲁汶', 'lang': 'zh'}], 'adminName2': 'Flemish Brabant Province', 'name': 'Leuven', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
3,3,95-652941,652941,95-652941-leuven,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuven sigaren""~5","https://www.googleapis.com/books/v1/volumes?q=""leuven+sigaren""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven sigaren,2.0,leuven,True,loc,True,,,loc,leuven sigaren,leuven,,None,"{'totalResultsCount': 805, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.763517934346493, 'south': 50.840130114847696, 'north': 50.919049062351306, 'west': 4.638332766031927, 'accuracyLevel': 2}, 'asciiName': 'Leuven', 'countryId': '2802361', 'fcl': 'P', 'score': 130.70785522460938, 'adminId2': '3333250', 'adminId3': '2792481', 'countryCode': 'BE', 'adminId4': '2792483', 'adminId1': '3337388', 'lat': '50.87959', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VBR', 'adminCode3': '24', 'adminCode1': 'VLG', 'lng': '4.70093', 'geonameId': 2792482, 'toponymName': 'Leuven', 'adminCode4': '24062', 'population': 92892, 'adminName5': '', 'adminName4': 'Leuven', 'adminName3': 'Arrondissement Leuven', 'alternateNames': [{'name': 'Льовен', 'lang': 'bg'}, {'name': 'Lovaň', 'lang': 'cs'}, {'name': 'Löwen', 'lang': 'de'}, {'name': 'Λέουβεν', 'lang': 'el'}, {'name': 'Leuven', 'lang': 'en'}, {'name': 'Loveno', 'lang': 'eo'}, {'name': 'Lovaina', 'lang': 'es'}, {'name': 'Leuven', 'lang': 'fi'}, {'name': 'Louvain', 'lang': 'fr'}, {'name': 'ZGK', 'lang': 'iata'}, {'name': 'Lovanio', 'lang': 'it'}, {'name': 'レーヴェン', 'lang': 'ja'}, {'name': 'Lovanium', 'lang': 'la'}, {'name': 'Leuve', 'lang': 'li'}, {'name': 'http://ru.wikipedia.org/wiki/%D0%9B%D1%91%D0%B2%D0%B5%D0%BD', 'lang': 'link'}, {'name': 'Leuven', 'lang': 'nl'}, {'name': 'Leuven', 'lang': 'pl'}, {'name': '3000', 'lang': 'post'}, {'name': 'Lovaina', 'lang': 'pt'}, {'name': 'Louvain', 'lang': 'ro'}, {'name': 'Лёвен', 'lang': 'ru'}, {'name': 'Лувен', 'lang': 'sr'}, {'name': 'Leuven', 'lang': 'sv'}, {'name': 'Leuven', 'lang': 'tr'}, {'name': 'LEU', 'lang': 'unlc'}, {'name': '鲁汶', 'lang': 'zh'}], 'adminName2': 'Flemish Brabant Province', 'name': 'Leuven', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
4,4,161-654375,654375,161-654375-guillemin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bruxelles gombert guillemin""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+gombert+bruxelles""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,guillemin gombert bruxelles,3.0,guillemin,,per,True,False,,per,guillemin gombert bruxelles,bruxelles,,"Bruxelles||||http://www.wikidata.org/entity/Q239commune de Bruxelles-Capitale, capitale de la Belgique","{'totalResultsCount': 514, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.556903881208461, 'south': 50.719418364785014, 'north': 50.981471745733586, 'west': 4.14066310487552, 'accuracyLevel': 2}, 'asciiName': 'Brussels', 'countryId': '2802361', 'fcl': 'P', 'score': 260.0640869140625, 'adminId2': '6693370', 'adminId3': '2800865', 'countryCode': 'BE', 'adminId4': '3337389', 'adminId1': '2800867', 'lat': '50.85045', 'fcode': 'PPLC', 'continentCode': 'EU', 'adminCode2': 'BRU', 'adminCode3': '21', 'adminCode1': 'BRU', 'lng': '4.34878', 'geonameId': 2800866, 'toponymName': 'Brussels', 'adminCode4': '21004', 'population': 1019022, 'adminName5': '', 'adminName4': 'City of Brussels', 'adminName3': 'Arrondissement Brussel-Hoofdstad', 'alternateNames': [{'name': 'Brussel', 'lang': 'af'}, {'name': 'بروكسل', 'lang': 'ar'}, {'name': 'ܒܪܘܟܣܠ', 'lang': 'arc'}, {'name': 'Bruseles', 'lang': 'ast'}, {'name': 'Брусэль', 'lang': 'be'}, {'name': 'Брюксел', 'lang': 'bg'}, {'name': 'Brisel', 'lang': 'bs'}, {'name': 'Brussel·les', 'lang': 'ca'}, {'name': 'Brusel', 'lang': 'cs'}, {'name': 'Brwsel', 'lang': 'cy'}, {'name': 'Bruxelles', 'lang': 'da'}, {'name': 'Brüssel', 'lang': 'de'}, {'name': 'Βρυξέλλες', 'lang': 'el'}, {'isShortName': True, 'isPreferredName': True, 'name': 'Brussels', 'lang': 'en'}, {'name': 'Brukselo', 'lang': 'eo'}, {'name': 'Bruselas', 'lang': 'es'}, {'name': 'Brüssel', 'lang': 'et'}, {'name': 'Brusela', 'lang': 'eu'}, {'name': 'بروکسل', 'lang': 'fa'}, {'name': 'Bryssel', 'lang': 'fi'}, {'isPreferredName': True, 'name': 'Bruxelles', 'lang': 'fr'}, {'name': 'Brussel', 'lang': 'fy'}, {'name': 'An Bhruiséil', 'lang': 'ga'}, {'name': 'Bruiseal', 'lang': 'gd'}, {'name': 'Bruxelas', 'lang': 'gl'}, {'name': 'בריסל', 'lang': 'he'}, {'name': 'Bruxelles', 'lang': 'hr'}, {'name': 'Brüsszel', 'lang': 'hu'}, {'name': 'Բրյուսել', 'lang': 'hy'}, {'name': 'BRU', 'lang': 'iata'}, {'name': 'Brusel', 'lang': 'id'}, {'name': 'Bruxel', 'lang': 'io'}, {'name': 'Brussel', 'lang': 'is'}, {'name': 'Bruxelles', 'lang': 'it'}, {'name': 'ブリュッセル', 'lang': 'ja'}, {'name': 'Brusel', 'lang': 'jv'}, {'name': 'ბრიუსელი', 'lang': 'ka'}, {'name': '브뤼셀', 'lang': 'ko'}, {'name': 'Bruksel', 'lang': 'ku'}, {'name': 'Bruxellae', 'lang': 'la'}, {'name': 'Bréissel', 'lang': 'lb'}, {'name': 'Brussel', 'lang': 'li'}, {'name': 'http://en.wikipedia.org/wiki/City_of_Brussels', 'lang': 'link'}, {'name': 'Briuselis', 'lang': 'lt'}, {'name': 'Brisele', 'lang': 'lv'}, {'name': 'Брисел', 'lang': 'mk'}, {'name': 'ब्रसेल्स', 'lang': 'mr'}, {'name': 'Brussels', 'lang': 'ms'}, {'name': 'Brüssel', 'lang': 'nds'}, {'isPreferredName': True, 'name': 'Brussel', 'lang': 'nl'}, {'name': 'Brussel', 'lang': 'nn'}, {'name': 'Brussel', 'lang': 'no'}, {'name': 'Bruksela', 'lang': 'pl'}, {'name': '1000', 'lang': 'post'}, {'name': 'Bruxelas', 'lang': 'pt'}, {'name': 'Brussel', 'lang': 'qu'}, {'name': 'Bruxelles', 'lang': 'ro'}, {'name': 'Брюссель', 'lang': 'ru'}, {'name': 'Bruselj', 'lang': 'sl'}, {'name': 'Brukseli', 'lang': 'sq'}, {'name': 'Брисел', 'lang': 'sr'}, {'name': 'Bryssel', 'lang': 'sv'}, {'name': 'บรัสเซลส์', 'lang': 'th'}, {'name': 'Brüksel', 'lang': 'tr'}, {'name': 'بريۇسسېل', 'lang': 'ug'}, {'name': 'Брюсель', 'lang': 'uk'}, {'name': 'BRU', 'lang': 'unlc'}, {'name': 'Brussele', 'lang': 'wa'}, {'name': '布鲁塞尔', 'lang': 'wuu'}, {'name': '布魯塞爾', 'lang': 'yue'}, {'name': '布鲁塞尔', 'lang': 'zh-CN'}], 'adminName2': 'Bruxelles-Capitale', 'name': 'Brussels', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'capital of a political entity', 'adminName1': 'Brussels Capital'}]}"
5,5,161-654375,654375,161-654375-gombert,,,False,,,,,,,guillemin gombert bruxelles,3.0,gombert,,per,True,False,,per,guillemin gombert bruxelles,bruxelles,,"Bruxelles||||http://www.wikidata.org/entity/Q239commune de Bruxelles-Capitale, capitale de la Belgique","{'totalResultsCount': 514, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.556903881208461, 'south': 50.719418364785014, 'north': 50.981471745733586, 'west': 4.14066310487552, 'accuracyLevel': 2}, 'asciiName': 'Brussels', 'countryId': '2802361', 'fcl': 'P', 'score': 260.0640869140625, 'adminId2': '6693370', 'adminId3': '2800865', 'countryCode': 'BE', 'adminId4': '3337389', 'adminId1': '2800867', 'lat': '50.85045', 'fcode': 'PPLC', 'continentCode': 'EU', 'adminCode2': 'BRU', 'adminCode3': '21', 'adminCode1': 'BRU', 'lng': '4.34878', 'geonameId': 2800866, 'toponymName': 'Brussels', 'adminCode4': '21004', 'population': 1019022, 'adminName5': '', 'adminName4': 'City of Brussels', 'adminName3': 'Arrondissement Brussel-Hoofdstad', 'alternateNames': [{'name': 'Brussel', 'lang': 'af'}, {'name': 'بروكسل', 'lang': 'ar'}, {'name': 'ܒܪܘܟܣܠ', 'lang': 'arc'}, {'name': 'Bruseles', 'lang': 'ast'}, {'name': 'Брусэль', 'lang': 'be'}, {'name': 'Брюксел', 'lang': 'bg'}, {'name': 'Brisel', 'lang': 'bs'}, {'name': 'Brussel·les', 'lang': 'ca'}, {'name': 'Brusel', 'lang': 'cs'}, {'name': 'Brwsel', 'lang': 'cy'}, {'name': 'Bruxelles', 'lang': 'da'}, {'name': 'Brüssel', 'lang': 'de'}, {'name': 'Βρυξέλλες', 'lang': 'el'}, {'isShortName': True, 'isPreferredName': True, 'name': 'Brussels', 'lang': 'en'}, {'name': 'Brukselo', 'lang': 'eo'}, {'name': 'Bruselas', 'lang': 'es'}, {'name': 'Brüssel', 'lang': 'et'}, {'name': 'Brusela', 'lang': 'eu'}, {'name': 'بروکسل', 'lang': 'fa'}, {'name': 'Bryssel', 'lang': 'fi'}, {'isPreferredName': True, 'name': 'Bruxelles', 'lang': 'fr'}, {'name': 'Brussel', 'lang': 'fy'}, {'name': 'An Bhruiséil', 'lang': 'ga'}, {'name': 'Bruiseal', 'lang': 'gd'}, {'name': 'Bruxelas', 'lang': 'gl'}, {'name': 'בריסל', 'lang': 'he'}, {'name': 'Bruxelles', 'lang': 'hr'}, {'name': 'Brüsszel', 'lang': 'hu'}, {'name': 'Բրյուսել', 'lang': 'hy'}, {'name': 'BRU', 'lang': 'iata'}, {'name': 'Brusel', 'lang': 'id'}, {'name': 'Bruxel', 'lang': 'io'}, {'name': 'Brussel', 'lang': 'is'}, {'name': 'Bruxelles', 'lang': 'it'}, {'name': 'ブリュッセル', 'lang': 'ja'}, {'name': 'Brusel', 'lang': 'jv'}, {'name': 'ბრიუსელი', 'lang': 'ka'}, {'name': '브뤼셀', 'lang': 'ko'}, {'name': 'Bruksel', 'lang': 'ku'}, {'name': 'Bruxellae', 'lang': 'la'}, {'name': 'Bréissel', 'lang': 'lb'}, {'name': 'Brussel', 'lang': 'li'}, {'name': 'http://en.wikipedia.org/wiki/City_of_Brussels', 'lang': 'link'}, {'name': 'Briuselis', 'lang': 'lt'}, {'name': 'Brisele', 'lang': 'lv'}, {'name': 'Брисел', 'lang': 'mk'}, {'name': 'ब्रसेल्स', 'lang': 'mr'}, {'name': 'Brussels', 'lang': 'ms'}, {'name': 'Brüssel', 'lang': 'nds'}, {'isPreferredName': True, 'name': 'Brussel', 'lang': 'nl'}, {'name': 'Brussel', 'lang': 'nn'}, {'name': 'Brussel', 'lang': 'no'}, {'name': 'Bruksela', 'lang': 'pl'}, {'name': '1000', 'lang': 'post'}, {'name': 'Bruxelas', 'lang': 'pt'}, {'name': 'Brussel', 'lang': 'qu'}, {'name': 'Bruxelles', 'lang': 'ro'}, {'name': 'Брюссель', 'lang': 'ru'}, {'name': 'Bruselj', 'lang': 'sl'}, {'name': 'Brukseli', 'lang': 'sq'}, {'name': 'Брисел', 'lang': 'sr'}, {'name': 'Bryssel', 'lang': 'sv'}, {'name': 'บรัสเซลส์', 'lang': 'th'}, {'name': 'Brüksel', 'lang': 'tr'}, {'name': 'بريۇسسېل', 'lang': 'ug'}, {'name': 'Брюсель', 'lang': 'uk'}, {'name': 'BRU', 'lang': 'unlc'}, {'name': 'Brussele', 'lang': 'wa'}, {'name': '布鲁塞尔', 'lang': 'wuu'}, {'name': '布魯塞爾', 'lang': 'yue'}, {'name': '布鲁塞尔', 'lang': 'zh-CN'}], 'adminName2': 'Bruxelles-Capitale', 'name': 'Brussels', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'capital of a political entity', 'adminName1': 'Brussels Capital'}]}"
6,6,161-654375,654375,161-654375-bruxelles,,,,Brussels,Commune,Brussels,Bruxelles-Capitale,Brussels Capital,Belgium,guillemin gombert bruxelles,3.0,bruxelles,True,loc,True,,,loc,guillemin gombert bruxelles,bruxelles,,"Bruxelles||||http://www.wikidata.org/entity/Q239commune de Bruxelles-Capitale, capitale de la Belgique","{'totalResultsCount': 514, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.556903881208461, 'south': 50.719418364785014, 'north': 50.981471745733586, 'west': 4.14066310487552, 'accuracyLevel': 2}, 'asciiName': 'Brussels', 'countryId': '2802361', 'fcl': 'P', 'score': 260.0640869140625, 'adminId2': '6693370', 'adminId3': '2800865', 'countryCode': 'BE', 'adminId4': '3337389', 'adminId1': '2800867', 'lat': '50.85045', 'fcode': 'PPLC', 'continentCode': 'EU', 'adminCode2': 'BRU', 'adminCode3': '21', 'adminCode1': 'BRU', 'lng': '4.34878', 'geonameId': 2800866, 'toponymName': 'Brussels', 'adminCode4': '21004', 'population': 1019022, 'adminName5': '', 'adminName4': 'City of Brussels', 'adminName3': 'Arrondissement Brussel-Hoofdstad', 'alternateNames': [{'name': 'Brussel', 'lang': 'af'}, {'name': 'بروكسل', 'lang': 'ar'}, {'name': 'ܒܪܘܟܣܠ', 'lang': 'arc'}, {'name': 'Bruseles', 'lang': 'ast'}, {'name': 'Брусэль', 'lang': 'be'}, {'name': 'Брюксел', 'lang': 'bg'}, {'name': 'Brisel', 'lang': 'bs'}, {'name': 'Brussel·les', 'lang': 'ca'}, {'name': 'Brusel', 'lang': 'cs'}, {'name': 'Brwsel', 'lang': 'cy'}, {'name': 'Bruxelles', 'lang': 'da'}, {'name': 'Brüssel', 'lang': 'de'}, {'name': 'Βρυξέλλες', 'lang': 'el'}, {'isShortName': True, 'isPreferredName': True, 'name': 'Brussels', 'lang': 'en'}, {'name': 'Brukselo', 'lang': 'eo'}, {'name': 'Bruselas', 'lang': 'es'}, {'name': 'Brüssel', 'lang': 'et'}, {'name': 'Brusela', 'lang': 'eu'}, {'name': 'بروکسل', 'lang': 'fa'}, {'name': 'Bryssel', 'lang': 'fi'}, {'isPreferredName': True, 'name': 'Bruxelles', 'lang': 'fr'}, {'name': 'Brussel', 'lang': 'fy'}, {'name': 'An Bhruiséil', 'lang': 'ga'}, {'name': 'Bruiseal', 'lang': 'gd'}, {'name': 'Bruxelas', 'lang': 'gl'}, {'name': 'בריסל', 'lang': 'he'}, {'name': 'Bruxelles', 'lang': 'hr'}, {'name': 'Brüsszel', 'lang': 'hu'}, {'name': 'Բրյուսել', 'lang': 'hy'}, {'name': 'BRU', 'lang': 'iata'}, {'name': 'Brusel', 'lang': 'id'}, {'name': 'Bruxel', 'lang': 'io'}, {'name': 'Brussel', 'lang': 'is'}, {'name': 'Bruxelles', 'lang': 'it'}, {'name': 'ブリュッセル', 'lang': 'ja'}, {'name': 'Brusel', 'lang': 'jv'}, {'name': 'ბრიუსელი', 'lang': 'ka'}, {'name': '브뤼셀', 'lang': 'ko'}, {'name': 'Bruksel', 'lang': 'ku'}, {'name': 'Bruxellae', 'lang': 'la'}, {'name': 'Bréissel', 'lang': 'lb'}, {'name': 'Brussel', 'lang': 'li'}, {'name': 'http://en.wikipedia.org/wiki/City_of_Brussels', 'lang': 'link'}, {'name': 'Briuselis', 'lang': 'lt'}, {'name': 'Brisele', 'lang': 'lv'}, {'name': 'Брисел', 'lang': 'mk'}, {'name': 'ब्रसेल्स', 'lang': 'mr'}, {'name': 'Brussels', 'lang': 'ms'}, {'name': 'Brüssel', 'lang': 'nds'}, {'isPreferredName': True, 'name': 'Brussel', 'lang': 'nl'}, {'name': 'Brussel', 'lang': 'nn'}, {'name': 'Brussel', 'lang': 'no'}, {'name': 'Bruksela', 'lang': 'pl'}, {'name': '1000', 'lang': 'post'}, {'name': 'Bruxelas', 'lang': 'pt'}, {'name': 'Brussel', 'lang': 'qu'}, {'name': 'Bruxelles', 'lang': 'ro'}, {'name': 'Брюссель', 'lang': 'ru'}, {'name': 'Bruselj', 'lang': 'sl'}, {'name': 'Brukseli', 'lang': 'sq'}, {'name': 'Брисел', 'lang': 'sr'}, {'name': 'Bryssel', 'lang': 'sv'}, {'name': 'บรัสเซลส์', 'lang': 'th'}, {'name': 'Brüksel', 'lang': 'tr'}, {'name': 'بريۇسسېل', 'lang': 'ug'}, {'name': 'Брюсель', 'lang': 'uk'}, {'name': 'BRU', 'lang': 'unlc'}, {'name': 'Brussele', 'lang': 'wa'}, {'name': '布鲁塞尔', 'lang': 'wuu'}, {'name': '布魯塞爾', 'lang': 'yue'}, {'name': '布鲁塞尔', 'lang': 'zh-CN'}], 'adminName2': 'Bruxelles-Capitale', 'name': 'Brussels', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'capital of a political entity', 'adminName1': 'Brussels Capital'}]}"
7,7,330-659051,659051,,,,,,,,,,,incendie,1.0,,,,,,,,incendie,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
8,8,469-661619,661619,469-661619-guillemin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""directeur guillemin institut""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+directeur+institut""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,guillemin directeur institut,3.0,guillemin,,per,True,False,,per,guillemin directeur institut,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
9,9,502-662107,662107,502-662107-de smet,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de smet""~5","https://www.googleapis.com/books/v1/volumes?q=""de+smet""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,de smet,2.0,de smet,,per,True,False,false,per,de smet,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
