unique_id_match,toponymName,fclName,commune,province,region,country,MATCH,types_Anne,types_Ettore
22-650707-rommel,,,,,,,rommel,per,per
85-652941-carette,,,,,,,carette,per,per
85-652941-leuven,,,,,,,leuven,loc,loc
95-652941-leuven,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven,loc,loc
161-654375-guillemin,,,,,,,guillemin,per,per
161-654375-gombert,,,,,,,gombert,per,per
161-654375-bruxelles,,,,,,,bruxelles,loc,loc
469-661619-guillemin,,,,,,,guillemin,per,per
502-662107-de smet,,,,,,,de smet,per,per
618-662611-pierre victor guillemin,,,,,,,pierre victor guillemin,per,per
642-662695-bosco,,,,,,,bosco,per,per
668-663509-rachez,,,,,,,rachez,per,per
755-663658-cantillon,,,,,,,cantillon,per,per
755-663658-lembecq,,,,,,,lembecq,loc,loc
789-664728-fishlin,,,,,,,fishlin,per_ambig,per_ambig
825-665744-bruxelles,,,,,,,bruxelles,loc,loc
921-667762-charles bernard,,,,,,,charles bernard,per,per
939-668536-baelen,,,,,,,baelen,per,per
1017-670263-mies van der rohe,,,,,,,mies van der rohe,per,per
1182-674942-malpertuis,,,,,,Netherlands,malpertuis,loc,loc
1218-675792-gambon,,,,,,,gambon,per,per
1220-675792-lemaitre,,,,,,,lemaitre,per,per
1359-679543-botaine,,,,,,,botaine,ambig,ambig
1550-684323-atwerpen,Antwerpen,Commune,Antwerpen,Antwerpen,Flanders,Belgium,atwerpen,loc,loc
1595-686387-gysegem,,,,,,,gysegem,per,per
1641-687149-marville,,,,,,France,marville,per,per
1771-690549-pelzer,,,,,,,pelzer,per_loc,per_loc
1841-692698-jeanne romain,,,,,,,jeanne romain,per,per
1841-692698-albert dassy,,,,,,,albert dassy,per,per
1869-693264-delovere,,,,,,,delovere,per,per
1993-697725-cordelois,,,,,,,cordelois,per,ambig
2047-698434-cornil station,,,,,,,cornil station,loc,loc
2047-698434-charleroi,,,,,,,charleroi,loc,loc
2116-701067-libot,,,,,,,libot,per,per
2194-702815-isidoor,,,,,,,isidoor,per,per
2362-708006-peltier,,,,,,,peltier,per,per
2372-708451-van glabbeek,,,,,,,van glabbeek,per,per
2375-708628-dexter,,,,,,,dexter,per,per
2546-714246-thonon xavier,,,,,,,thonon xavier,per,per
2794-722945-charles lamquet,,,,,,,charles lamquet,per,per
2794-722945-jambes,,,,,,,jambes,loc,loc
2832-725615-curer bell,,,,,,,curer bell,per,per
3099-735376-havré,Havré,Section,Mons,Hainaut Province,Wallonia,Belgium,havré,loc,loc
,,,,,,,,per,per
3260-740248-liezele,Liezele,Section,Puurs,Antwerpen,Flanders,Belgium,liezele,loc,loc
3388-746195-dhuy,,Section,,,,Belgium,dhuy,loc,loc
3540-752815-sohie,,,,,,,sohie,per,per
3541-752964-sweron,,,,,,,sweron,per,per
3848-769048-werbrouck,,,,,,,werbrouck,per,per
4020-774704-jalhay,Jalhay,Commune,Jalhay,Liège Province,Wallonia,Belgium,jalhay,loc,loc
4031-775116-louis nieter,,,,,,,louis nieter,per,per
4136-781498-herzele,Herzele,Commune,Herzele,East Flanders Province,Flanders,Belgium,herzele,loc,loc
4136-781498-duiven,,,,,,,duiven,loc,loc
4188-783164-paternotre,,,,,,,paternotre,per,per
4249-784034-azem,,,,,,,azem,per_loc,per_loc
4342-787499-ronveaux léon,,,,,,,ronveaux léon,per,per
4426-791068-nauwelaers,,,,,,,nauwelaers,per,per
4426-791068-duffel,,,,,,,duffel,loc,loc
4456-792058-kurth,,,,,,,kurth,per,per
4527-795470-quaregnon,Quaregnon,Commune,Quaregnon,Hainaut Province,Wallonia,Belgium,quaregnon,loc,loc
4612-799374-tielemans,,,,,,,tielemans,per,per
4612-799374-laarne,,,,,,,laarne,loc,loc
4713-803670-cava tirreni,,,,,,Italy,cava tirreni,loc,loc
4752-805839-lode tallon,,,,,,,lode tallon,per,per
4772-806204-verrebroeck,Verrebroek,Section,Beveren,East Flanders Province,Flanders,Belgium,verrebroeck,loc,loc
4826-807658-frantz wittouck,,,,,,,frantz wittouck,per,per
4908-809880-namur,Namur,Commune,Namur,Namur Province,Wallonia,Belgium,namur,loc,loc
5451-830608-hyfte,,,,,,,hyfte,per,per
5451-830608-mariakerke,,,,,,,mariakerke,loc,loc
5532-833305-verweyen,,,,,,,verweyen,per,per
5838-842762-haas,,,,,,,haas,per,per
5838-842762-jette,,,,,,,jette,loc,loc
5862-842849-boutelkin,,,,,,,boutelkin,per_ambig,per_ambig
5863-842849-boutelkine,,,,,,,boutelkine,per_ambig,per_ambig
6287-855104-watervliet,Watervliet,Section,Sint-Laureins,East Flanders Province,Flanders,Belgium,watervliet,loc,loc
6320-856245-londerzeel,Londerzeel,Commune,Londerzeel,Flemish Brabant Province,Flanders,Belgium,londerzeel,loc,loc
6338-856474-joris,,,,,,,joris,per,per
6370-857860-harlez,,,,,,,harlez,per,per
6442-859442-sohu,,,,,,,sohu,per,per
6626-866898-melle,Melle,Commune,Melle,East Flanders Province,Flanders,Belgium,melle,loc,loc
6742-869492-liège,Liège,Commune,Liège,Liège Province,Wallonia,Belgium,liège,loc,loc
6914-875401-rogier,,,,,,,rogier,per,per
6926-875706-reding,,,,,,,reding,per,per
6989-876918-leclercq abel,,,,,,,leclercq abel,per,per
6989-876918-senzeille,,,,,,,senzeille,loc,loc
7060-878964-steenberghs,,,,,,,steenberghs,per,per
7504-892662-ravestein esther,,,,,,,ravestein esther,per,per
7524-893008-templeuve,Templeuve,Section,Tournai,Hainaut Province,Wallonia,Belgium,templeuve,loc,loc
7581-893859-leopold van den neste,,,,,,,leopold van den neste,per,per
7586-893859-mathilde dumalin,,,,,,,mathilde dumalin,per,per
7597-893933-keihem,,,,,,,keihem,per_loc,per_loc
7642-894610-graauwmans,,,,,,,graauwmans,per,per
7658-894764-jozef kockx,,,,,,,jozef kockx,per,per
7777-898669-bibliothèque royale,,POI,Brussels,Brussels Capital,Brussels Capital,Belgium,bibliothèque royale,loc,loc
7812-899489-adolphe strimel,,,,,,,adolphe strimel,per,per
7961-905401-schneeweiss,,,,,,,schneeweiss,per,per
8066-910080-meulemaekershoef,,,,,,,meulemaekershoef,loc,loc
8136-914250-ghilain,,,,,,,ghilain,per,per
8163-916114-fayat,,,,,,,fayat,per_ambig,per_ambig
8234-918859-rumst,Rumst,Commune,Rumst,Antwerpen,Flanders,Belgium,rumst,loc,loc
8628-941874-gill,,,,,,,gill,per_ambig,per_ambig
8734-948076-constant le boucher,,,,,,,constant le boucher,per,per
8811-949149-hever,Hever,Section,Boortmeerbeek,Flemish Brabant Province,Flanders,Belgium,hever,loc,loc
9008-958536-bartels,,,,,,,bartels,per,per
9267-966877-j. bertrand,,,,,,,j. bertrand,per,per
9314-967905-kripp hermann,,,,,,,kripp hermann,per,per
9324-968123-armand bivort,,,,,,,armand bivort,per,per
9475-971864-hasselt,Hasselt,Commune,Hasselt,Limburg Province,Flanders,Belgium,hasselt,loc,loc
9575-974284-victor polet,,,,,,,victor polet,per,per
9781-979513-angelica hauff,,,,,,,angelica hauff,per,per
9896-981701-brand,,,,,,,brand,per,per
9896-981701-halle,,,,,,,halle,loc,loc
9897-981701-brand,,,,,,,brand,per_loc,per_loc
9897-981701-halle,,,,,,,halle,loc,loc
9947-982840-meyer,,,,,,,meyer,per,per
9947-982840-huysmans,,,,,,,huysmans,per,per
10436-995215-voghelaere,,,,,,,voghelaere,per,per
10615-998199-jacques isaac,,,,,,,jacques isaac,per,per
10713-1001085-levaillant,,,,,,,levaillant,per,per
10854-1005884-lambeaux,,POI,,,,Belgium,lambeaux,loc,per
10854-1005884-horta,,,,,,,horta,loc,per
10916-1008736-hoeylaert,Hoeilaart,Commune,Hoeilaart,Flemish Brabant Province,Flanders,Belgium,hoeylaert,loc,loc
11002-1011709-watervliet,,,,,,,watervliet,loc,loc
11009-1012023-windelinckx,,,,,,,windelinckx,per,per
11046-1013142-charles michel,,,,,,,charles michel,per,per
11161-1015222-emile storms,,,,,,,emile storms,per,per
11228-1016570-ramakers,,,,,,,ramakers,per,per
11228-1016570-geleen,,,,,,,geleen,loc,loc
11456-1022116-lequarré,,,,,,,lequarré,per,per
11458-1022135-charles simon,,,,,,,charles simon,per,per
11656-1029495-crowther,,,,,,,crowther,per,per
11746-1031997-devi dja,,,,,,,devi dja,per,per
11953-1039499-emile jacques,,,,,,,emile jacques,per,per
12259-1048213-ukkel,Uccle,Section,Ukkel,Bruxelles-Capitale,Brussels Capital,Belgium,ukkel,loc,loc
12384-1051793-joly,,,,,,,joly,per,per
