unique_id_match,Column,unique_id_query,visit_id,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries,extract_lieux_be,extract_persons,extract_family
22-650707-rommel,0,22-650707,650707,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rommel""~5","https://www.googleapis.com/books/v1/volumes?q=""rommel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,rommel,1.0,rommel,,per,True,False,,per,rommel,,,Rommel
85-652941-carette,1,85-652941,652941,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""carette leuven""~5","https://www.googleapis.com/books/v1/volumes?q=""carette+leuven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,carette leuven,2.0,carette,,per,True,False,,per,carette leuven,leuven,,Carette
85-652941-leuven,2,85-652941,652941,,,,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,carette leuven,2.0,leuven,True,loc,True,,,loc,carette leuven,leuven,,Carette
95-652941-leuven,3,95-652941,652941,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuven sigaren""~5","https://www.googleapis.com/books/v1/volumes?q=""leuven+sigaren""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven sigaren,2.0,leuven,True,loc,True,,,loc,leuven sigaren,leuven,,
161-654375-guillemin,4,161-654375,654375,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bruxelles gombert guillemin""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+gombert+bruxelles""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,guillemin gombert bruxelles,3.0,guillemin,,per,True,False,,per,guillemin gombert bruxelles,bruxelles,,Guillemin Gombert
161-654375-gombert,5,161-654375,654375,,,False,,,,,,,guillemin gombert bruxelles,3.0,gombert,,per,True,False,,per,guillemin gombert bruxelles,bruxelles,,Guillemin Gombert
161-654375-bruxelles,6,161-654375,654375,,,,Brussels,Commune,Brussels,Bruxelles-Capitale,Brussels Capital,Belgium,guillemin gombert bruxelles,3.0,bruxelles,True,loc,True,,,loc,guillemin gombert bruxelles,bruxelles,,Guillemin Gombert
,7,330-659051,659051,,,,,,,,,,incendie,1.0,,,,,,,,incendie,,,
469-661619-guillemin,8,469-661619,661619,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""directeur guillemin institut""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+directeur+institut""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,guillemin directeur institut,3.0,guillemin,,per,True,False,,per,guillemin directeur institut,,,Guillemin
502-662107-de smet,9,502-662107,662107,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de smet""~5","https://www.googleapis.com/books/v1/volumes?q=""de+smet""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,de smet,2.0,de smet,,per,True,False,false,per,de smet,,,De Smet
618-662611-pierre victor guillemin,10,618-662611,662611,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""guillemin pierre victor""~5","https://www.googleapis.com/books/v1/volumes?q=""pierre+victor+guillemin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,pierre victor guillemin,3.0,pierre victor guillemin,,per,True,True,,per,pierre victor guillemin,,Pierre Victor Guillemin,
642-662695-bosco,11,642-662695,662695,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bosco""~5","https://www.googleapis.com/books/v1/volumes?q=""bosco""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,bosco,1.0,bosco,,per,True,False,,per,bosco,,,Bosco
668-663509-rachez,12,668-663509,663509,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""1878rachez""~5","https://www.googleapis.com/books/v1/volumes?q=""1878rachez""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,1878rachez,1.0,rachez,,per,True,False,,per,rachez,,,Rachez
755-663658-cantillon,13,755-663658,663658,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cantillon lembecq""~5","https://www.googleapis.com/books/v1/volumes?q=""cantillon+lembecq""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,cantillon lembecq,2.0,cantillon,,per,True,False,,per,cantillon lembecq,lembecq,,Cantillon
755-663658-lembecq,14,755-663658,663658,,,,,Section,,,,Belgium,cantillon lembecq,2.0,lembecq,True,loc,True,,,loc,cantillon lembecq,lembecq,,Cantillon
789-664728-fishlin,15,789-664728,664728,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""fishlin""~5","https://www.googleapis.com/books/v1/volumes?q=""fishlin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,fishlin,1.0,fishlin,,per_ambig,True,False,,per_ambig,fishlin,,,Fishlin
825-665744-bruxelles,16,825-665744,665744,,,,Brussels,Commune,Brussels,Bruxelles-Capitale,Brussels Capital,Belgium,institut bruxelles directeurs,3.0,bruxelles,True,loc,True,,,loc,institut bruxelles directeurs,bruxelles,,
921-667762-charles bernard,17,921-667762,667762,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bernard charles discours""~5","https://www.googleapis.com/books/v1/volumes?q=""discours+charles+bernard""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,discours charles bernard,3.0,charles bernard,,per,True,True,,per,discours charles bernard,,Charles Bernard,
939-668536-baelen,18,939-668536,668536,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""baelen necrologie""~5","https://www.googleapis.com/books/v1/volumes?q=""necrologie+baelen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,necrologie baelen,2.0,baelen,,per,True,False,,per,necrologie baelen,baelen,,
1017-670263-mies van der rohe,19,1017-670263,670263,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""der mies rohe van""~5","https://www.googleapis.com/books/v1/volumes?q=""mies+van+der+rohe""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,mies van der rohe,4.0,mies van der rohe,,per,True,True,,per,mies van der rohe,,Mies Van Der Rohe,
1182-674942-malpertuis,20,1182-674942,674942,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""malpertuis""~5","https://www.googleapis.com/books/v1/volumes?q=""malpertuis""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Netherlands,malpertuis,1.0,malpertuis,,loc,True,,,loc,malpertuis,,,Malpertuis
,21,1194-675209,675209,,,,,,,,,,comptoir generale d,3.0,,,,,,,,comptoir generale d,,,Comptoir Generale D
