Column,unique_id_query,visit_id,unique_id_match,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries
0,22-650707,650707,22-650707-rommel,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rommel""~5","https://www.googleapis.com/books/v1/volumes?q=""rommel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,rommel,1,rommel,,per,true,false,,per,rommel
1,85-652941,652941,85-652941-carette,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""carette leuven""~5","https://www.googleapis.com/books/v1/volumes?q=""carette+leuven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,carette leuven,2,carette,,per,true,false,,per,carette leuven
2,85-652941,652941,85-652941-leuven,,,,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,carette leuven,2,leuven,true,loc,true,,,loc,carette leuven
3,95-652941,652941,95-652941-leuven,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuven sigaren""~5","https://www.googleapis.com/books/v1/volumes?q=""leuven+sigaren""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven sigaren,2,leuven,true,loc,true,,,loc,leuven sigaren
4,161-654375,654375,161-654375-guillemin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bruxelles gombert guillemin""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+gombert+bruxelles""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,guillemin gombert bruxelles,3,guillemin,,per,true,false,,per,guillemin gombert bruxelles
5,161-654375,654375,161-654375-gombert,,,false,,,,,,,guillemin gombert bruxelles,3,gombert,,per,true,false,,per,guillemin gombert bruxelles
6,161-654375,654375,161-654375-bruxelles,,,,Brussels,Commune,Brussels,Bruxelles-Capitale,Brussels Capital,Belgium,guillemin gombert bruxelles,3,bruxelles,true,loc,true,,,loc,guillemin gombert bruxelles
7,330-659051,659051,,,,,,,,,,,incendie,1,,,,,,,,incendie
8,469-661619,661619,469-661619-guillemin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""directeur guillemin institut""~5","https://www.googleapis.com/books/v1/volumes?q=""guillemin+directeur+institut""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,guillemin directeur institut,3,guillemin,,per,true,false,,per,guillemin directeur institut
9,502-662107,662107,502-662107-de smet,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de smet""~5","https://www.googleapis.com/books/v1/volumes?q=""de+smet""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,de smet,2,de smet,,per,true,false,false,per,de smet
10,618-662611,662611,618-662611-pierre victor guillemin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""guillemin pierre victor""~5","https://www.googleapis.com/books/v1/volumes?q=""pierre+victor+guillemin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,pierre victor guillemin,3,pierre victor guillemin,,per,true,true,,per,pierre victor guillemin
11,642-662695,662695,642-662695-bosco,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bosco""~5","https://www.googleapis.com/books/v1/volumes?q=""bosco""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,bosco,1,bosco,,per,true,false,,per,bosco
12,668-663509,663509,668-663509-rachez,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""1878rachez""~5","https://www.googleapis.com/books/v1/volumes?q=""1878rachez""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,1878rachez,1,rachez,,per,true,false,,per,rachez
13,755-663658,663658,755-663658-cantillon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cantillon lembecq""~5","https://www.googleapis.com/books/v1/volumes?q=""cantillon+lembecq""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,cantillon lembecq,2,cantillon,,per,true,false,,per,cantillon lembecq
14,755-663658,663658,755-663658-lembecq,,,,,Section,,,,Belgium,cantillon lembecq,2,lembecq,true,loc,true,,,loc,cantillon lembecq
15,789-664728,664728,789-664728-fishlin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""fishlin""~5","https://www.googleapis.com/books/v1/volumes?q=""fishlin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,fishlin,1,fishlin,,per_ambig,true,false,,per_ambig,fishlin
16,825-665744,665744,825-665744-bruxelles,,,,Brussels,Commune,Brussels,Bruxelles-Capitale,Brussels Capital,Belgium,institut bruxelles directeurs,3,bruxelles,true,loc,true,,,loc,institut bruxelles directeurs
