nom_original,noms_unifie
Aaigem,Aaigem
Aalbeke,Aalbeke
Aalbeke,Aelbeke
AALST,alst
AALST,Alost
AALST,Алст
AALST,آلسٹ، بلجئیم
AALST,Aelst
AALST,arusuto
AALST,Aalst
AALST,Alstas
AALST,阿尔斯特
AALST,Alostum
AALST,الست
AALST,Աալստ
AALST,Alst
AALST,Άαλστ
AALST,アールスト
AALST,Aals
AALST,a er si te
AALST,alseuteu
AALST,Sint-Truiden (Aalst)
AALST,Oalst
AALST,알스트
AALST,AALST
Aalst (Limburg),alst
Aalst (Limburg),Alost
Aalst (Limburg),Алст
Aalst (Limburg),آلسٹ، بلجئیم
Aalst (Limburg),Aelst
Aalst (Limburg),arusuto
Aalst (Limburg),Aalst
Aalst (Limburg),Alstas
Aalst (Limburg),阿尔斯特
Aalst (Limburg),Alostum
Aalst (Limburg),الست
Aalst (Limburg),Աալստ
Aalst (Limburg),Aalst (Limburg)
Aalst (Limburg),Alst
Aalst (Limburg),Άαλστ
Aalst (Limburg),アールスト
Aalst (Limburg),Aals
Aalst (Limburg),a er si te
Aalst (Limburg),alseuteu
Aalst (Limburg),Sint-Truiden (Aalst)
Aalst (Limburg),Oalst
Aalst (Limburg),알스트
AALTER,Alter
AALTER,Aalter
AALTER,Aeltre
AALTER,alth
AALTER,آلٹیر
AALTER,Gemeente_Aalter
AALTER,AALTER
AALTER,Άαλτερ
AALTER,阿尔特
AALTER,a er te
AALTER,Алтер
AALTER,الته
AARSCHOT,Arskhot
AARSCHOT,aleuseuhos
AARSCHOT,Aerschot
AARSCHOT,ارسشت
AARSCHOT,a er si huo te
AARSCHOT,arusukoto
AARSCHOT,Арсхот
AARSCHOT,아르스홋
AARSCHOT,Άαρσχοτ
AARSCHOT,Arschotas
AARSCHOT,阿尔斯霍特
AARSCHOT,آرسچوٹ
AARSCHOT,AARSCHOT
AARSCHOT,Aarschoti vald
AARSCHOT,Aarshot
AARSCHOT,アールスコート
AARSCHOT,Ааршот
AARSCHOT,Aarschot
AARSCHOT,arssht
Aarsele,Aerseele
Aarsele,Aarsele
Aartrijke,Aartrijke
Aartrijke,Aertrycke
AARTSELAAR,artswlr
AARTSELAAR,Aartselaar
AARTSELAAR,Artselar
AARTSELAAR,a er te si la er
AARTSELAAR,Артселар
AARTSELAAR,Aertselaer
AARTSELAAR,آرٹسیلار
AARTSELAAR,阿尔特斯拉尔
AARTSELAAR,AARTSELAAR
AARTSELAAR,ارتسولر
AARTSELAAR,Άαρτσελααρ
Abée,Abee
Abée,Abée
Abolens,Abolens
Abolens,Hannut (Abolens)
Achel,Hamont-Achel (Achel)
Achel,Achel
Achêne,Achene
Achêne,Achêne
Achêne,Ciney (Achêne)
Achêne,Ciney (Achene)
Achet,Hamois (Achet)
Achet,Achet
Acosse,Wasseiges (Acosse)
Acosse,Acosse
Acoz,Gerpinnes (Acoz)
Acoz,Acoz
Adegem,Adegem
Adinkerke,Adinkerke
AFFLIGEM,a fu li he mu
AFFLIGEM,Аффлигем
AFFLIGEM,阿夫利赫姆
AFFLIGEM,AFFLIGEM
AFFLIGEM,Affligem
AFFLIGEM,aflyzhm
AFFLIGEM,افلیژم
AFFLIGEM,Afligem
AFFLIGEM,Афлигем
Afsnee,Afsne
Afsnee,Afsné
Afsnee,Afsnee
Agimont,Agimont
Agimont,Hastiere (Agimont)
Agimont,Hastière (Agimont)
Aineffe,Aineffe
Aische-en-Refail,Aische-en-Refail
Aische-en-Refail,Aische
Aiseau,Aiseau-Presles (Aiseau)
Aiseau,Aiseau
AISEAU-PRESLES,Aiseau-Presles
AISEAU-PRESLES,AISEAU-PRESLES
Aisemont,Aisémont
Aisemont,Aisemont
Aisemont,Fosses-la-Ville (Aisemont)
ALKEN,Alleke
ALKEN,Alkén
ALKEN,alkan
ALKEN,xal kein
ALKEN,阿尔肯
ALKEN,อัลเกิน
ALKEN,a er ken
ALKEN,Алкен
ALKEN,الکان
ALKEN,ALKEN
ALKEN,Alken
Alle,Vresse-sur-Semois (Alle)
Alle,Alle
Alleur,Ans (Alleur)
Alleur,Alleur
Alsemberg,Beersel (Alsemberg)
