unique_id,visitID,Column,queries,extract_lieux_be,extract_persons
54405-2294179,2294179,54405,plouenec,,
3086-734807,734807,3086,coureur norwégien,,
60918-2496987,2496987,60918,euthanasie pour les enfants,,
66197-2697459,2697459,66197,johan,,
71002-2844842,2844842,71002,kees de dood?,,Kees De Dood
53476-2255528,2255528,53476,brabantlouis michiels,,Michiels Brabantlouis
1172-674700,674700,1172,moritz,,
8287-920967,920967,8287,cambroman,,
46625-2054091,2054091,46625,durand-ruel,,
59802-2458762,2458762,59802,bonnot,,
3827-768562,768562,3827,battle of waterloo,waterloo,
6273-854846,854846,6273,poppe,,
16440-1162069,1162069,16440,platteborze joseph dieux fernande,,Joseph Dieux
29791-1592359,1592359,29791,rue de magnée,magnee,
25419-1459485,1459485,25419,quai à la chaux,,
39917-1875020,1875020,39917,ben-ahin,,
36985-1796954,1796954,36985,jodenville obus,,
58801-2423866,2423866,58801,parmentier francois banque andries,,Francois Banque
76676-2995356,2995356,76676,chine japon,,
14136-1096441,1096441,14136,périquet,,
35300-1746063,1746063,35300,ritueel slachten,,
81731-3154794,3154794,81731,xavier de bange,,Xavier De Bange
51087-2192620,2192620,51087,kint escrime,,
54425-2295532,2295532,54425,fein karel,,Karel Fein
60571-2483263,2483263,60571,demolition gravats boue,,
40532-1897710,1897710,40532,liegeois,,
67226-2727611,2727611,67226,peeters leeuw,,Peeters Leeuw
17072-1181185,1181185,17072,trouwen,,
41616-1926585,1926585,41616,elmeskini,,
19188-1250518,1250518,19188,cinema royal nord,,
4642-801003,801003,4642,kwakkel,,
19151-1249579,1249579,19151,rapidius,,
40064-1879749,1879749,40064,denis de brabander,,Denis De Brabander
37302-1804149,1804149,37302,cyclistesgardes civiques,,
13430-1079305,1079305,13430,de renette de villers perwin,,Renette De Villers
14946-1120643,1120643,14946,dereys,,
28676-1568008,1568008,28676,leroy,,
71523-2857467,2857467,71523,per olafson=,per,
81133-3131240,3131240,81133,pennequin willemeau,willemeau,
62020-2547579,2547579,62020,ancienne bourse,,
43962-1992184,1992184,43962,albert bert,,Albert Bert
17571-1203469,1203469,17571,ecole communale 9 anneessens,,
71329-2851844,2851844,71329,china japan,,
10742-1003302,1003302,10742,apel keilands,,
19850-1267290,1267290,19850,aimé michaux,,Aime Michaux
67134-2724195,2724195,67134,municipalité nivelles 1792,nivelles,
42241-1945865,1945865,42241,van rolleghem parent,rolleghem,
61826-2541683,2541683,61826,verdronken,,
27763-1536225,1536225,27763,pickett,,
414-660687,660687,414,harriers,,
16060-1152872,1152872,16060,antisocialiste,,
1704-688807,688807,1704,gombert rachez,,
29326-1585031,1585031,29326,brevet,,
3767-764687,764687,3767,ernest rousseau,,Ernest Rousseau
4768-806204,806204,4768,heilberg,,
8612-941354,941354,8612,schneeweiss,,
67133-2724195,2724195,67133,municipalité de nivelles,nivelles,
33444-1687578,1687578,33444,souppeau,,
27080-1517440,1517440,27080,buzen nothomb,nothomb,
9225-966610,966610,9225,luckhaus,,
23393-1396959,1396959,23393,boe david,,David Boe
16855-1175934,1175934,16855,ronet,,
65980-2685287,2685287,65980,liezele,liezele,
12991-1068536,1068536,12991,octave lejeune,,Octave Lejeune
5178-821490,821490,5178,police de nivelles,nivelles,
60927-2497800,2497800,60927,152 rue royale,,
60837-2492186,2492186,60837,landschot,,
