,lieux_names
0,
1,guignies
2,dendermonde
3,boekhoute
4,bassevelde
5,assenede
6,moeskroen
7,comines
8,komen
9,mouscron
10,hoeylaert
11,huldenberg
12,strepy
13,dinant
14,wannebecq
15,ogy
16,lessines
17,ghoy
18,aartselaar
19,aertselaer
20,leuven
21,boorsheim
22,libramont
23,boorsem
24,bouvignes
25,antwerpen
26,bellinghen
27,louette-saint-denis
28,malvoisin
29,patignies
30,rienne
31,chanly
32,bruxelles
33,aalst
34,schellebelle
35,bastogne
36,liezele
37,tervuren
38,stokkem
39,stockheim
40,laarne
41,spa
42,gand
43,gent
44,braibant
45,resteigne
46,humbeek
47,maubray
48,zulte
49,vilvorde
50,westmeerbeek
51,gembloux
52,luingne
53,ruien
54,herinnes
55,fleurus
56,mechelen
57,bierset
58,waesmunster
59,anvers
60,philippeville
61,froyennes
62,nethen
63,blaesveld
64,lembecq
65,lembeek
66,schaerbeek
67,bellingen
68,pole
69,thys
70,everbecq
71,ollignies
72,papignies
73,neerijsche
74,neeryssche
75,overyssche
76,bruges
77,kemmel
78,templeuve
79,erpe
80,baelen
81,melen
82,liege
83,jupille
84,glons
85,herve
86,houdremont
87,naome
88,hoeilaart
89,oignies
90,luik
91,spontin
92,staden
93,charleroi
94,antverpia
95,vencimont
96,battice
97,maaseik
98,hulpe
99,an
100,bost
101,kessel
102,nijlen
103,nylen
104,poperinghe
105,montbliart
106,viane
107,etterbeek
108,naast
109,thieu
110,gottignies
111,le roeulx
112,strepy-bracquegnies
113,opwijk
114,mol
115,tervueren
116,herstal
117,zottegem
118,falaen
119,namur
120,burdinne
121,haaren
122,verlaine
123,coxyde
124,gijzegem
125,gysegem
126,engis
127,hermalle
128,roulers
129,attenhoven
130,la reid
131,val
132,merxem
133,dixmude
134,mons
135,rongy
136,glimes
137,limal
138,hanneche
139,moresnet
140,ans
141,borgerhout
142,willebroeck
143,poupehan
144,werken
145,ligne
146,aische
147,aische-en-refail
148,antwerp
149,mariakerke
150,rameignies
151,moulbaix
152,dame
153,jambes
154,eerneghem
155,berbroek
156,rebecq
157,orcq
158,dailly
159,glabbeek
160,lens
161,forchies-la-marche
162,walcourt
163,virton
164,nivelles
165,rossignol
166,couillet
167,geraardsbergen
168,geeraardsbergen
169,slype
170,beverst
171,diepenbeek
172,genappe
173,hasselt
174,olloy
175,asch
176,genk
177,genck
178,lanklaer
179,zonhoven
180,berchem
181,boortmeerbeek
182,gilly
183,bomal
184,bande
185,beerse
186,bouillon
187,ninove
188,aye
189,beho
190,vezin
191,wichelen
192,esneux
193,comblain
194,marcke
195,thourout
196,perwez
197,olloy-sur-viroin
198,vielsalm
199,latour
200,sint-truiden
201,denderwindeke
202,brussels
203,dudzele
204,havre
205,roeselare
206,nassogne
207,putte
208,wesemael
209,bornem
210,irchonwelz
211,jumet
212,nouvelles
213,zomergem
214,hoepertingen
215,rijkel
216,gottem
217,dhuy
218,chenee
219,overpelt
220,cornesse
221,pepinster
222,estinnes
223,saint-denis
224,wilryck
225,meenen
226,arlon
227,ronse
228,sombreffe
229,hoboken
230,westkerke
231,welle
232,averbode
233,sichem
234,selzaete
235,aubange
236,hees
237,sohier
238,waterloo
239,turnhout
240,haine-saint-pierre
241,antoing
242,dongelberg
243,thieusies
244,bras
245,ostende
246,jalhay
247,mignault
248,anseremme
249,wesembeek
250,neeroeteren
251,oosteeklo
252,herzele
253,waerschoot
254,vieux-turnhout
255,boisschot
256,iteghem
257,soignies
258,hallaer
259,hulshout
260,lede
261,hauwaert
262,tamines
263,romeree
264,hemixem
265,duffel
266,quaregnon
267,kester
268,wetteren
269,anhee
270,aerschot
271,bever
272,ottergem
273,olmen
274,meise
275,samree
276,mortsel
277,wilrijk
278,malines
279,hives
280,leven
