,persons_names,isName
0,Diamond London,Possible nom
1,,
2,Rommel Charles,Possible nom
3,Michel Pruvost,Possible nom
4,Bernard Israelite,Possible nom
5,Bridge Whist,Possible nom
6,Daniel De Lange,Possible nom
7,Wilhelmine Clauss,Possible nom
8,Amalia Rodrigues,Possible nom
9,Gillet Amour,Possible nom
10,Gillet Lamouline,Possible nom
11,Felix Van De Weghe,Possible nom
12,Anna Nellens,Possible nom
13,Marcel Dupuis,Possible nom
14,Victor Guillemin,Possible nom
15,Victor Guillemin Albert Gombert,Possible nom
16,Beernaert Wilmart,Possible nom
17,Gulden Valse,Possible nom
18,Pierre Willems,Possible nom
19,Pierre Willems Professeur,Possible nom
20,Pieter Willems,Possible nom
21,Denis Jacquemin,Possible nom
22,Albert Panier,Possible nom
23,Jean Bahut,Improbable
24,Andre Boelen,Possible nom
25,Gaston Block,Possible nom
26,Mendes Catulle,Possible nom
27,Vincent Lebbe,Possible nom
28,Stevens Smeers,Possible nom
29,Stevens Stacquet,Possible nom
30,Leopold De Wael,Possible nom
31,Puck Belge,Possible nom
32,Fernand Khnopff,Possible nom
33,Jacob Karsman,Possible nom
34,Edmond Hollande,Possible nom
35,Gaston Martens,Possible nom
36,Auguste Werbrouck,Possible nom
37,August Werbrouck,Possible nom
38,Diamant Werbrouck,Possible nom
39,Florent De Ridder,Possible nom
40,Jaak Van Den Bemden,Possible nom
41,Charles Montigny,Possible nom
42,Henri Mocke,Possible nom
43,Henri Moke,Possible nom
44,Jeanne Deraume,Possible nom
45,Jeanne Deraume Arthur English,Possible nom
46,Charles Bernard Rachez,Possible nom
47,Auguste Bulcke,Possible nom
48,Emile Van Den Bemden,Possible nom
49,Leon Bulcke,Possible nom
50,Janssens Pierre,Possible nom
51,Charles Bernard,Possible nom
52,France Guilleminacte,Possible nom
53,Honore H,Possible nom
54,Carlo Elsen,Possible nom
55,Raymond Van Den Abeele,Possible nom
56,Daniel Nazy,Possible nom
57,George Fat,Possible nom
58,George Fay,Possible nom
59,France Guillemin,Possible nom
60,France Militaire,Possible nom
61,Marcel Guillemin,Possible nom
62,Pierre Guillemin,Possible nom
63,Pierre Victor Guillemin,Possible nom
64,Therese Felicite Van Mieghem,Possible nom
65,Felicite Van Mieghem,Possible nom
66,Therese Van Mieghem,Possible nom
67,Victor Guillemin France Militaire,Possible nom
68,Alice Orban,Possible nom
69,Orban Gonda,Possible nom
70,Alice Schulpen,Possible nom
