Column 1,viaf,wikidata,Column 2
Aaron Rosenthal,Aaron Rosenthal,,1
Abbe Babou,,,1
Abbe Baelde,,,1
Abbe Baisir,,,1
Abbe Bataille,Abbe Bataille,Abbe Bataille,1
Abbe Bolly,,,1
Abbe Boutry,,,1
Abbe Depooter,,,1
Abbe De Wael,,,1
Abbe Henri,,,1
Abbe Louis Babou,,,1
Abbe Loyer,,,1
Abbe Melen,,,2
Abbe Soury,,,1
Abbe Stievenard,,,2
Abbe Stievenart,,,1
Abbey Wincot,,,1
Abdellah Bni,,,1
Abdul Abha,,,1
Abdul Baha,,Abdul Baha,1
Abdul Beha,,,1
Abdul Dumalin,,,1
Abel Dubois,,Abel Dubois,1
Abel Gance,Abel Gance,Abel Gance,2
Abel Leclercq,Abel Leclercq,,3
Abel Moise,,,1
Abel Moses,,,1
Abel Pollet,Abel Pollet,Abel Pollet,2
Abel Torcy,Abel Torcy,Abel Torcy,1
Abraham Fouleng,,,1
Abraham Huisman,,,1
Abraham Jacob,,Abraham Jacob,1
Abraham Konijn,,,1
Abraham Konyn,,,1
Abraham Kuyper,Abraham Kuyper,Abraham Kuyper,1
Abraham Levy,,Abraham Levy,1
Abraham Lion,,,3
Abraham Nottebohm,Abraham Nottebohm,Abraham Nottebohm,1
Abraham Raskin,,,1
Abraham Sundel,,,1
Abraham Worms,,,2
Abraham Wyngaard,,,1
Abram Raskin,,Abram Raskin,1
Achille Dandelin,,,1
Achille De Baets,,,1
Achille Depoorter,,,3
Achille Detienne,,,1
Achille Duchne,,,1
Achille Hespel,,,1
Achille Lecomte,,,1
Achille Lossignol,,,1
Achille Olieu,,,2
Achille Radelet,,,1
Achille Renson,,,2
Achille Sacre,,,1
Achilles De Baets,,,1
Achilles Moortgat,Achilles Moortgat,Achilles Moortgat,1
Achilles Neve,,,1
Achille Urbain,Achille Urbain,Achille Urbain,1
Achille Vermeersch,,,1
Achille Wiot,,,1
Adalbert Joassart,,,1
Adalbert Prince,,,1
Adam De Lisle,,,1
Adam Keyem,,,1
Adam Matinees,,,1
Adelaide Port,,,1
Adele Abrassart,,,1
Adele Chevalier,Adele Chevalier,,1
Adele D,,,1
Adele De Loneaux,,,1
Adele De Loneux,,,1
Adele Foucher,,Adele Foucher,1
Adele Pivon,,,1
Adele Vent,,,2
Adel Grooten,,,1
Adeline Andres,Adeline Andres,Adeline Andres,2
Adeline Arnould Cholet,,,1
Adeline Lefebvre,,,1
Adeline Pollet,,,2
Adelin Paulis,,,1
Adelin Wauthy,,,2
Adhemar Daumerie,,,1
Adhemar Famelard,,,1
Adolf Bourguignon,,,1
Adolf Brion,Adolf Brion,,1
Adolf Coppens,,,1
Adolf Hitler,Adolf Hitler,Adolf Hitler,4
Adolf Loos,Adolf Loos,Adolf Loos,1
Adolf Van Den Berghe,,,1
Adolph Dubois,,,1
Adolphe And,,,1
Adolphe Baiwir,,,4
Adolphe Beric,,,1
Adolphe Biarent,Adolphe Biarent,Adolphe Biarent,2
Adolphe Buyl,Adolphe Buyl,Adolphe Buyl,1
Adolphe Coppens,,,1
Adolphe Courtois,,,1
Adolphe Daminet,,,1
Adolphe Damme,,,2
Adolphe Dechamps,Adolphe Dechamps,Adolphe Dechamps,2
Adolphe Deluc,,,1
Adolphe Delvaux,Adolphe Delvaux,,1
Adolphe Demeur,Adolphe Demeur,Adolphe Demeur,1
Adolphe Demol,,,1
Adolphe De Roubaix,,,1
Adolphe Desmet,,,1
Adolphe Desmette,,,1
Adolphe Dujardin,,,1
Adolphe Dutrieux,,,2
Adolphe Dutry,,,1
Adolphe Engels,,,1
Adolphe Eymael,,Adolphe Eymael,1
Adolphe Fassin,,Adolphe Fassin,2
Adolphe Fischer,Adolphe Fischer,Adolphe Fischer,2
Adolphe Francois,,,3
Adolphe Gerard,,Adolphe Gerard,1
Adolphe Hambye,,,1
Adolphe Hayois,,,1
Adolphe Huybrechts,Adolphe Huybrechts,,1
Adolphe Huybrechts Gulden Bie,,,1
Adolphe Jette,,,2
Adolphe Lacomble,,Adolphe Lacomble,1
Adolphe Lekeu,,,1
Adolphe Marbotin,,,1
Adolphe Marechal,,Adolphe Marechal,2
Adolphe Max,,Adolphe Max,2
Adolphe Meurisse,,Adolphe Meurisse,1
Adolphe Miche,,,1
Adolphe Milliaud,,,3
Adolphe Moerkerke,,,1
Adolphe Nyssens,,,2
Adolphe Paul,,,1
Adolphe Picard,,,1
Adolphe Poncelet,Adolphe Poncelet,,2
Adolphe Prins,Adolphe Prins,Adolphe Prins,1
Adolphe Puissant,Adolphe Puissant,,1
Adolphe Rayez,,,1
Adolphe Rette,Adolphe Rette,Adolphe Rette,8
Adolphe Rue,,,1
Adolphe Sax,Adolphe Sax,Adolphe Sax,1
Adolphe Seroul,,,1
Adolphe Siroul,,,3
Adolphe Straus,,,1
Adolphe Strimel,,,1
Adolphe Swisser,,,3
Adolphe Terwangne,Adolphe Terwangne,,1
Adolphe Vandenschrieck,,,2
Adolphe Willemyns,,,2
Adolphine Jeanne,,,1
Adolphine Jeanne Freire,,,1
Adolph Max,,,1
Adolph Prins,,,3
Adolphus Konig,,,1
Adophe Terwangne,,,1
Adriaan Peinen,,,1
Adriana Backx,Adriana Backx,,1
Adriana Petronella Backx,,,1
Adriana Petronellq,,,1
Adriana Van Hal,,,1
Adrianus Peinen,,,1
Adrien Bastin,,,2
Adrien David,,,4
Adrien De Gerlache,,Adrien De Gerlache,1
Adrien Deville,,,3
Adrien Doneux,,,1
Adrien Joseph Dechamps,,,2
Adrien Joseph Deschamps,,,1
Adrien Joseph Heymans,Adrien Joseph Heymans,Adrien Joseph Heymans,1
Adrienne Doncker,,,1
Adrienne Hoogendijk,,,1
Adrienne Van Hal,,,1
Adrienne Verstraete,,,1
Adrien Peinen,,,1
Adrien Philippe Raoux,,,1
Adrien Scocarde,,,1
Adrien Somers,,,1
Adrien Toussaint,,,1
Adrien Van Emelen,Adrien Van Emelen,,1
Aelbrecht Bieren,,,1
Aelbrecht Brouwerij,,,1
