Column 1,fingerprint,mots
Abime,abime,abîme
Abîme,abime,abîme
Acre ,acre,acre
Agi ,agi,agi
Aille ,aille,aille
Aise ,aise,aise
Alle,alle,allé
Alle ,alle,allé
Amas,amas,amas
Amer ,amer,amer
Ange,ange,ange
Appels,appels,appels
Arches,arches,arches
Bailli,bailli,bailli
Ballons,ballons,ballons
Barges,barges,barges
Bassines,bassines,bassines
Bath,bath,bath
Baume,baume,baume
Baya,baya,baya
Beche,beche,bêche
Bèche,beche,bêche
Beer,beer,béer
Beguinage,beguinage,béguinage
Béguinage,beguinage,béguinage
Belle,belle,belle
Belvedere,belvedere,belvédère
Belvédère,belvedere,belvédère
Berceau,berceau,berceau
Berge,berge,berge
Bergere,bergere,bergère
Bergère,bergere,bergère
Beurre,beurre,beurre
Boette,boette,boëtte
Boëtte,boette,boëtte
Boom,boom,boom
Bosquet,bosquet,bosquet
Bosse,bosse,bosse
Boucau,boucau,boucau
Bourdon,bourdon,bourdon
Bourg,bourg,bourg
Bourgeon,bourgeon,bourgeon
Bourgogne,bourgogne,bourgogne
Braques,braques,braques
Brigande,brigande,brigande
Briqueterie,briqueterie,briqueterie
Brule,brule,brûle
Brûlé,brule,brûle
Brume,brume,brume
Buis,buis,buis
Buisson,buisson,buisson
Bure,bure,bure
Burg,burg,burg
Butor,butor,butor
Cailloux,cailloux,cailloux
Calvaire,calvaire,calvaire
Camp,camp,camp
Canada,canada,canada
Canard,canard,canard
Cantines,cantines,cantines
Capon,capon,capon
Carre,carre,carre
Carré,carre,carre
Castre,castre,castré
Cavee,cavee,cavée
Cavée,cavee,cavée
Cens,cens,cens
Chalet,chalet,chalet
Champagne,champagne,champagne
Champs,champs,champs
Chantier,chantier,chantier
Chaos,chaos,chaos
Chapelle,chapelle,chapelle
Chaussee,chaussee,chaussée
Chaussée,chaussee,chaussée
Chene,chene,chêne
Chêne,chene,chêne
Cheneau,cheneau,chéneau
Chêneau,cheneau,chéneau
Chenes,chenes,chênes
Chênes,chenes,chênes
Chenu,chenu,chenu
Chevron,chevron,chevron
Choque,choque,choque
Cine,cine,ciné
Cînè,cine,ciné
Cloitre,cloitre,cloître
Cloître,cloitre,cloître
Collas,collas,collas
Colonie,colonie,colonie
Comte,comte,comte
Comté,comte,comte
Corbeau,corbeau,corbeau
Cordes,cordes,cordes
Core,core,coré
Côré,core,coré
Coron,coron,coron
Coucou,coucou,coucou
Couplet,couplet,couplet
Croisette,croisette,croisette
Culot,culot,culot
Culots,culots,culots
Dalle,dalle,dalle
Dauphin,dauphin,dauphin
Dime,dime,dîme
Dinez,dinez,dînez
Dolmen,dolmen,dolmen
Dorent,dorent,dorent
Drossart,drossart,drossart
Duras,duras,duras
Enfer,enfer,enfer
Epinette,epinette,épinette
Épinette,epinette,épinette
Equipee,equipee,équipée
Équipée,equipee,équipée
Ermite,ermite,ermite
Faubourg,faubourg,faubourg
Filee,filee,filée
Filée,filee,filée
Flamandes,flamandes,flamandes
Fontaine,fontaine,fontaine
Fore,fore,fore
Forge,forge,forge
Forges,forges,forges
Fosse,fosse,fosse
Fouir,fouir,fouir
Foulerie,foulerie,foulerie
Fourche,fourche,fourche
Fourneau,fourneau,fourneau
Frene,frene,frêne
Frêne,frene,frêne
Frenes,frenes,frênes
Frênes,frenes,frênes
Freux,freux,freux
Frisee,frisee,frisée
Frisée,frisee,frisée
Gade,gade,gade
Gadin,gadin,gadin
Gages,gages,gages
Gala,gala,gala
Galle,galle,galle
Gant,gant,gant
Gante,gante,gante
Gaver,gaver,gaver
Gazelle,gazelle,gazelle
Genes,genes,gènes
Gênes,genes,gènes
Gente,gente,gente
Gingembre,gingembre,gingembre
Glaireuse,glaireuse,glaireuse
Grange,grange,grange
Grees,grees,gréés
Hache,hache,hache
Haies,haies,haies
Hameau,hameau,hameau
Hanneton,hanneton,hanneton
Hareng,hareng,hareng
Henne,henne,henné
Herisson,herisson,hérisson
Hérisson,herisson,hérisson
Hertz,hertz,hertz
Hollande,hollande,hollande
Hostie,hostie,hostie
Hotte,hotte,hotte
Houlette,houlette,houlette
Houppe,houppe,houppe
Housse,housse,housse
Houx,houx,houx
Hutte,hutte,hutte
Hütte,hutte,hutte
Java,java,java
Jete,jete,jeté
Lamine,lamine,lamine
Langes,langes,langes
Lanterne,lanterne,lanterne
Lava,lava,lava
Lavoir,lavoir,lavoir
Lessive,lessive,lessive
Lige,lige,lige
Limoges,limoges,limoges
Lives,lives,lives
Lobe,lobe,lobe
Lôbe,lobe,lobe
Lorette,lorette,lorette
Losange,losange,losange
Loyers,loyers,loyers
Luzerne,luzerne,luzerne
Macon,macon,maçon
Malaise,malaise,malaise
Male,male,mâle
Malle,malle,malle
Malterie,malterie,malterie
Mansart,mansart,mansart
Marais,marais,marais
Marengo,marengo,marengo
Marins,marins,marins
Mark,mark,mark
Marniere,marniere,marnière
Marnière,marniere,marnière
Marquette,marquette,marquette
Marteau,marteau,marteau
Mater,mater,mater
Mazarin,mazarin,mazarin
Menage,menage,ménage
Ménage,menage,ménage
Menin,menin,menin
Merdier,merdier,merdier
Mere,mere,mère
Merlin,merlin,merlin
Monobloc,monobloc,monobloc
Mont,mont,mont
Montes,montes,montes
Monts,monts,monts
Morcelle,morcelle,morcelle
Mortier,mortier,mortier
Motte,motte,motte
Moulin,moulin,moulin
Neon,neon,néon
Néon,neon,néon
Nivele,nivele,nivelé
Nouvelles,nouvelles,nouvelles
Obelisque,obelisque,obélisque
Obélisque,obelisque,obélisque
Once,once,once
Ortho,ortho,ortho
Pair,pair,pair
Panier,panier,panier
Panne,panne,panne
Paradis,paradis,paradis
Parc,parc,parc
Patrouille,patrouille,patrouille
Paturage,paturage,pâturage
Pâturage,paturage,pâturage
Pave,pave,pave
Pavé,pave,pave
Payat,payat,payât
Payot,payot,payot
Pelican,pelican,pélican
Perre,perre,perré
Pinchart,pinchart,pinchart
Pire,pire,pire
Planque,planque,planque
Plateau,plateau,plateau
Pleine,pleine,pleine
Plomb'er,plomber,plomber
Plombier,plombier,plombier
Poignard,poignard,poignard
Poirier,poirier,poirier
pole,pole,pôle
Ponceau,ponceau,ponceau
Poteau,poteau,poteau
Pourri,pourri,pourri
Prairie,prairie,prairie
Preau,preau,préau
Pree,pree,prée
Prée,pree,prée
Presente,presente,présente
Quartes,quartes,quartes
Quartiers,quartiers,quartiers
R'ond'o,rondo,rondo
Rabot,rabot,rabot
Raidit,raidit,raidit
Rance,rance,rance
Regne,regne,règne
Regné,regne,règne
Religieuses,religieuses,religieuses
Renard,renard,renard
Reves,reves,rêves
Rèves,reves,rêves
Rivage,rivage,rivage
Riviere,riviere,rivière
Rivière,riviere,rivière
Rocheux,rocheux,rocheux
Rode,rode,rode
Rognee,rognee,rognée
Rognée,rognee,rognée
Rolle,rolle,rolle
Rollé,rolle,rolle
Romarin,romarin,romarin
Ronce,ronce,ronce
Roquette,roquette,roquette
Rosee,rosee,rosée
Rosée,rosee,rosée
Rossignol,rossignol,rossignol
Rouage,rouage,rouage
Roulotte,roulotte,roulotte
Roux,roux,roux
Royaume,royaume,royaume
Sabot,sabot,sabot
Saintes,saintes,saintes
Salles,salles,salles
Sauvegarde,sauvegarde,sauvegarde
Savoie,savoie,savoie
Spiegel,spiegel,spiegel
Stal,stal,stal
Star,star,star
Stock,stock,stock
Strate,strate,strate
Straté,strate,strate
Sure,sure,sure
Tailles,tailles,tailles
Tambour,tambour,tambour
Tambourin,tambourin,tambourin
Tasse,tasse,tasse
Termes,termes,termes
Thon,thon,thon
Tienne,tienne,tienne
Tourelle,tourelle,tourelle
Trahison,trahison,trahison
Trappe,trappe,trappe
Trembleur,trembleur,trembleur
Vaux,vaux,vaux
Veld,veld,veld
Vergne,vergne,vergne
Verv'e,verve,verve
Verve,verve,verve
Villettes,villettes,villettes
Vivier,vivier,vivier
Viviers,viviers,viviers
Zele,zele,zèle
