#,prenoms,Aantal in België,Aantal in Vlaanderen,Aantal in Wallonië,Aantal in Brussel
1,Maria,167294,133008,23277,11009
2,Marie,119453,51091,56951,11411
3,Jean,90211,31374,48984,9853
4,Marc,69114,47743,17158,4213
5,Michel,56226,16653,34103,5470
6,Patrick,53848,35492,14727,3629
7,Luc,52494,41867,8813,1814
8,André,49248,24702,21275,3271
9,Jan,47168,45088,943,1137
10,Monique,46227,24609,17863,3755
11,Philippe,45347,11637,28620,5090
12,Martine,42906,24538,15335,3033
13,Anne,41793,15343,20965,5485
14,Paul,40808,29592,8418,2798
15,Nathalie,40800,16633,20557,3610
16,Pierre,40732,11905,23812,5015
17,Roger,40014,27272,10749,1993
18,Willy,37225,30810,5335,1080
19,Nicole,36713,18889,14547,3277
20,Anna,36691,25969,7520,3202
21,Rita,36544,31828,3941,775
22,Eric,35631,17406,15589,2636
23,Christiane,35375,19472,12955,2948
24,Marcel,34779,21518,11541,1720
25,Johan,34628,31471,2544,613
26,Peter,34443,32485,1198,760
27,Jacques,34329,10691,19697,3941
28,Dirk,34053,33206,516,331
29,Alain,33696,8669,21305,3722
30,Robert,33681,19033,11689,2959
31,Daniel,33610,12085,17748,3777
32,David,33546,15412,14501,3633
33,Christine,33431,15320,15655,2456
34,Jacqueline,33067,13833,15513,3721
35,Joseph,32991,19055,12059,1877
36,Thomas,32172,16651,13001,2520
37,Jozef,31643,30756,470,417
38,Isabelle,31476,9331,19021,3124
39,Bart,29855,29393,212,250
40,François,29642,14490,12497,2655
41,Nicolas,29438,6552,18920,3966
42,Christian,29344,6790,19256,3298
43,Tom,29187,25159,3537,491
44,Guy,27962,12821,12675,2466
45,Christophe,27795,9659,15755,2381
46,Jeannine,27616,14013,11383,2220
47,Olivier,27288,7339,16255,3694
48,Sarah,26660,14191,9349,3120
49,Patricia,26283,11675,12257,2351
50,Ann,26191,25187,612,392
51,Carine,25719,16013,8387,1319
52,Chantal,25459,9591,13232,2636
53,Mohamed,25429,9691,4302,11436
54,Louis,25326,13370,10097,1859
55,Laura,25213,12805,10244,2164
56,Annie,25209,15984,8019,1206
57,Julie,25021,11343,11406,2272
58,René,24863,12692,10665,1506
59,Julien,24336,8290,13996,2050
60,Kevin,24125,15831,6874,1420
61,Caroline,23867,11913,9786,2168
62,Marleen,23811,23355,280,176
63,Georges,23702,11676,9945,2081
64,Pascal,23396,8711,13085,1600
65,Vincent,23016,7714,12971,2331
66,Sophie,22604,7747,12049,2808
67,Liliane,22577,12954,7692,1931
68,Françoise,22480,3124,16461,2895
69,Godelieve,22417,21415,590,412
70,Geert,22402,22055,192,155
71,Eddy,21986,18266,3291,429
72,Ingrid,21967,18248,3127,592
73,Véronique,21866,5025,14435,2406
74,Linda,21600,18552,2436,612
75,Nadine,21388,10589,9101,1698
76,Henri,21165,11199,8188,1778
77,Denise,20730,12696,6427,1607
78,Nancy,20694,16049,4024,621
79,Albert,20236,11497,7543,1196
80,Frédéric,20227,2666,15106,2455
81,Brigitte,20214,9362,9146,1706
82,Jeanne,19901,8203,9323,2375
83,Frans,19789,18893,612,284
84,Catherine,19788,4122,12771,2895
85,Yves,19665,9613,8266,1786
86,Bernard,19621,5261,12555,1805
87,Elisabeth,19424,12266,5416,1742
88,Charlotte,19283,11386,6451,1446
89,Thierry,19219,4865,12030,2324
90,Laurent,19047,4027,12547,2473
91,Hilde,18723,18350,219,154
92,Wim,18693,18431,102,160
93,Steven,18622,16778,1475,369
94,Michaël,18602,6843,11489,1560
95,Myriam,18176,9235,6972,1969
96,Francine,18165,8459,8111,1595
97,Sandra,17972,12116,4646,1210
98,Els,17818,17565,123,130
99,Sabine,17690,10158,6623,909
100,Didier,17572,4938,10839,1795
101,Cindy,17439,11408,5391,640
102,Dominique,17281,5116,10077,2088
103,Valérie,17215,4071,12098,2073
104,Freddy,17213,12547,4223,443
105,Paula,17127,14055,2241,831
106,Sofie,17113,16808,146,159
107,Pieter,17076,16634,161,281
108,Frank,16974,15199,1375,400
109,Guido,16463,15417,822,224
110,Francis,16393,5339,9754,1300
111,Stéphanie,16183,6250,11768,1790
112,Jonathan,16165,5111,9375,1679
113,Katrien,16106,15813,143,150
114,Claude,15958,2109,12123,1726
115,Sébastien,15693,1595,12261,1837
116,Danny,15666,14671,817,178
117,Koen,15642,15403,96,143
118,Georgette,15531,8329,6108,1094
119,Bruno,15517,6990,6948,1579
120,Claudine,15463,4503,9563,1397
121,Maxime,15411,3175,10809,1427
122,Antoine,15246,4918,8665,1663
123,Yvonne,14984,8485,5249,1250
124,Sylvie,14949,4717,8689,1543
125,Mariette,14928,10465,3565,898
126,Etienne,14924,9939,4227,758
127,Fabienne,14807,3961,9505,1341
128,Serge,14576,4281,8603,1692
129,Hugo,14493,9484,4350,659
130,Céline,14476,2906,10015,1555
131,Roland,14409,8776,4606,1027
132,Simonne,14383,11119,2300,964
133,Viviane,14370,8024,5195,1151
134,Annick,14308,9028,4644,636
135,Rosa,14302,9920,3405,977
136,Gilbert,14225,9648,4010,567
137,Christel,14203,10904,2846,453
138,Simon,14200,7202,5894,1104
139,Laurence,14027,2096,10266,1665
140,Maurice,13872,7652,5369,851
141,Suzanne,13863,5482,6681,1700
142,Raymond,13793,6736,5984,1073
143,Bernadette,13616,3708,9013,895
144,Benjamin,13601,4965,7389,1247
145,Alexandre,13580,1623,9638,2319
146,Walter,13542,12052,1180,310
147,Erik,13530,12730,458,342
148,Stijn,13434,13295,50,89
149,Emma,13396,8989,3606,801
150,Yvette,13394,5101,7286,1007
151,Victor,13386,8041,4131,1214
152,José,13193,4243,7017,1933
153,Wendy,13184,11067,1827,290
154,Cédric,13030,3011,8682,1337
155,Joanna,12981,11509,624,848
156,Stéphane,12925,1517,9661,1747
157,Anne-Marie,12903,5879,6202,822
158,Vanessa,12873,6119,5536,1218
159,Filip,12871,12475,148,248
160,Jean-Pierre,12868,4313,7447,1108
161,Louise,12859,5132,6173,1554
162,Dominique,12829,4147,7727,955
163,Marina,12799,10024,2138,637
164,Charles,12731,4652,6404,1675
165,Danielle,12714,4053,7136,1525
166,Pascale,12683,5184,6084,1415
167,Veerle,12540,12328,105,107
168,Alice,12488,6147,4901,1440
169,Virginie,12430,2523,8537,1370
170,Tim,12416,11685,584,147
171,Fatima,12378,4531,2408,5439
172,Rudy,12355,9258,2829,268
173,Inge,12302,11974,194,134
174,Anita,12261,9668,2116,477
175,Lucien,12261,7922,3707,632
176,Julia,12227,8691,2559,977
177,Herman,12151,11624,334,193
178,Kristof,12040,11882,66,92
179,Nadia,12028,5757,3705,2566
180,Marianne,11987,5844,5134,1009
181,Guillaume,11914,3490,7160,1264
182,Ellen,11898,11562,165,171
183,Emilie,11821,2571,8069,1181
184,Ilse,11791,11521,156,114
185,Kris,11751,11539,113,99
186,Jessica,11569,4557,5825,1187
187,Kurt,11459,11071,290,98
188,Aurélie,11446,1753,8329,1364
189,Mathieu,11411,4971,5409,1031
190,Karel,11402,11035,188,179
191,Ronny,11392,10917,408,67
192,Arlette,11309,5283,5150,876
193,Agnes,11288,10604,3659,707
194,Nelly,11269,4866,5540,863
195,Kelly,11195,9143,1707,345
196,Robin,11111,8070,2641,400
197,Eva,11059,7053,3078,928
198,Sara,11052,7789,1790,1473
199,Xavier,11021,2992,6520,1509
200,Lucienne,10983,5810,4203,970
201,Mireille,10966,4328,5720,918
202,Arthur,10963,5441,4613,909
203,Jonas,10963,10097,660,206
204,Hans,10927,10208,469,250
205,Elise,10925,5586,4511,828
206,Hélène,10914,2692,6546,1676
207,Jeroen,10908,10721,65,122
208,Martin,10819,5225,4457,1137
209,Lucas,10807,4945,5152,710
210,Josiane,10758,2802,6957,999
211,Hilda,10746,10151,357,238
212,Michèle,10694,2680,6291,1723
213,Alfons,10593,10314,166,113
214,Madeleine,10577,3988,5512,1077
215,Anthony,10560,3485,6141,934
216,Mario,10533,7299,2718,516
217,Arnaud,10506,1734,7519,1253
218,Rudi,10434,9155,1102,177
219,Lisa,10409,7143,2781,485
220,Manon,10347,2573,7137,637
221,Kim,10300,9628,444,228
222,Sven,10266,9742,328,196
223,Sabrina,10258,4309,5116,833
224,Sonja,10253,9653,450,150
225,Cécile,10249,3238,7012,1395
226,Andrée,10228,1082,7936,1210
227,Romain,10157,3245,6236,676
228,Dimitri,10138,6072,3432,634
229,An,10097,9909,68,120
230,Irène,10075,5707,3597,771
231,Greta,10047,9718,178,151
232,Raphaël,10029,3361,5564,1104
233,Marguerite,9921,3294,5536,1091
234,Jenny,9878,7432,2048,398
235,Kathleen,9855,8796,818,241
236,Micheline,9789,3268,5166,1355
237,Pauline,9711,2652,6084,975
238,Hendrik,9623,9266,158,199
239,Stefan,9622,8592,582,448
240,Simone,9531,4429,4269,833
241,Sonia,9493,5049,3460,984
242,Christelle,9476,1464,7382,630
243,Claire,9467,1810,5914,1743
244,Jules,9447,4243,4638,566
245,Emile,9406,3659,4989,758
246,Hubert,9404,5896,3022,486
247,Renée,9391,2358,6075,958
248,Magda,9340,8834,340,166
249,Heidi,9316,8997,231,88
250,Maarten,9246,9128,39,79
251,Anja,9240,8907,234,99
252,Jean-Marie,9144,1637,6931,576
253,Delphine,9128,3254,5041,833
254,Bert,9043,8924,40,79
255,Nele,9042,8886,82,74
256,Wouter,9036,8908,41,87
257,Quentin,9023,827,7200,996
258,Lucie,9002,2211,5786,1005
259,Steve,8998,5332,3283,383
260,Stefaan,8968,8772,93,103
261,Elisa,8940,5201,2922,817
262,Camille,8906,2071,5938,897
263,Nathan,8881,3016,5040,825
264,Clara,8750,3615,4309,826
265,Annelies,8739,8616,51,72
266,Franciscus,8727,8497,132,98
267,Elke,8717,8405,219,93
268,Giuseppe,8605,1188,6590,827
269,Joris,8604,7991,471,142
270,Gerda,8541,8247,210,84
271,Florence,8490,1481,5780,1229
272,Nick,8490,8362,86,42
273,Bram,8443,8331,41,71
274,Denis,8419,2608,4872,939
275,Andy,8410,6622,1590,198
276,Emmanuel,8346,2512,4673,1161
277,Helena,8343,7336,587,420
278,Mohammed,8314,2653,1625,4036
279,Fabrice,8308,806,6769,733
280,Melissa,8285,6016,2953,520
281,Niels,8249,8019,153,77
282,Karin,8233,6627,1240,366
283,Ahmed,8210,3007,1504,3699
284,Marijke,8207,8070,70,67
285,Béatrice,8192,1902,6170,923
286,Fernand,8184,3600,4100,484
287,Juliette,8179,3442,3884,853
288,Jens,8171,8018,81,72
289,Alexander,8146,7018,584,544
290,Davy,8132,7796,286,50
291,Gilles,8124,3941,3370,813
292,William,8092,4452,2921,719
293,Barbara,8060,4557,2336,1167
294,Magdalena,8027,7006,511,510
295,Jérôme,7961,779,6405,777
296,Dylan,7936,3740,3781,415
297,Lisette,7934,6932,721,281
298,Ruben,7925,7474,247,204
299,Germaine,7879,4078,3136,665
300,Frederik,7863,7584,130,149
301,Nico,7840,7528,247,65
302,Gilberte,7824,3684,3540,600
303,Richard,7813,3549,3526,738
304,Jean-Claude,7804,1061,6100,643
305,Joëlle,7776,1236,5539,1001
306,Geneviève,7770,938,5742,1090
307,Ivan,7727,6416,852,459
308,Antonio,7722,1732,4603,1387
309,Sandrine,7719,1025,5696,998
310,Willem,7695,7351,181,163
311,Mathias,7654,5454,1839,361
312,Joannes,7629,7446,100,83
313,Eline,7613,6808,692,113
314,Grégory,7583,3000,6500,644
315,Léa,7574,6754,5850,819
316,Odette,7558,3502,3521,535
317,Martha,7539,6427,849,263
318,Jolien,7524,7493,20,11
319,Lydia,7511,5807,1338,366
320,Jennifer,7505,2034,4607,864
321,Sam,7500,6762,573,165
