QID,link,label,countCountries,countPersons
Q1000387,https://www.wikidata.org/wiki/Q1000387,Ferdinanda,2,2
Q1000433,https://www.wikidata.org/wiki/Q1000433,Bud,5,136
Q1001236,https://www.wikidata.org/wiki/Q1001236,Helke,1,4
Q1001293,https://www.wikidata.org/wiki/Q1001293,Filemon,3,3
Q1001625,https://www.wikidata.org/wiki/Q1001625,Fiorella,7,22
Q1001630,https://www.wikidata.org/wiki/Q1001630,Fioretta,1,3
Q1001781,https://www.wikidata.org/wiki/Q1001781,Buenaventura,8,24
Q1001948,https://www.wikidata.org/wiki/Q1001948,Albin,21,142
Q1003165,https://www.wikidata.org/wiki/Q1003165,Fortunato,15,82
Q1003466,https://www.wikidata.org/wiki/Q1003466,Franziska,11,183
Q1003897,https://www.wikidata.org/wiki/Q1003897,Friderika,3,3
Q1007221,https://www.wikidata.org/wiki/Q1007221,Gabriella,19,137
Q1007535,https://www.wikidata.org/wiki/Q1007535,Galatea,1,1
Q1009041,https://www.wikidata.org/wiki/Q1009041,Geminian,1,1
Q1009255,https://www.wikidata.org/wiki/Q1009255,Genevieve,12,31
Q1009550,https://www.wikidata.org/wiki/Q1009550,Jiřina,1,34
Q1009614,https://www.wikidata.org/wiki/Q1009614,Gerasim,1,1
Q1009647,https://www.wikidata.org/wiki/Q1009647,Gerda,18,121
Q1009842,https://www.wikidata.org/wiki/Q1009842,Gereon,3,9
Q1010138,https://www.wikidata.org/wiki/Q1010138,Géza,10,306
Q1010157,https://www.wikidata.org/wiki/Q1010157,Burak,6,45
Q1010464,https://www.wikidata.org/wiki/Q1010464,Gilberta,1,1
Q1010472,https://www.wikidata.org/wiki/Q1010472,Gilda,12,29
Q1011007,https://www.wikidata.org/wiki/Q1011007,Glenda,12,22
Q1011034,https://www.wikidata.org/wiki/Q1011034,Gliceria,1,1
Q1012152,https://www.wikidata.org/wiki/Q1012152,Gordana,4,18
Q1015001,https://www.wikidata.org/wiki/Q1015001,Burghard,3,19
Q1016301,https://www.wikidata.org/wiki/Q1016301,Burim,2,2
Q1016412,https://www.wikidata.org/wiki/Q1016412,Burkhard,7,110
Q1017717,https://www.wikidata.org/wiki/Q1017717,Busso,2,8
Q1019008,https://www.wikidata.org/wiki/Q1019008,Bärbel,3,47
Q1020662,https://www.wikidata.org/wiki/Q1020662,Bülent,3,66
Q1025775,https://www.wikidata.org/wiki/Q1025775,Cahit,3,20
Q1025892,https://www.wikidata.org/wiki/Q1025892,Caio,2,41
Q1026023,https://www.wikidata.org/wiki/Q1026023,Caius,3,6
Q10270094,https://www.wikidata.org/wiki/Q10270094,Zalman,1,1
Q1027192,https://www.wikidata.org/wiki/Q1027192,Calle,4,22
Q1027325,https://www.wikidata.org/wiki/Q1027325,Callista,1,2
Q10278126,https://www.wikidata.org/wiki/Q10278126,Eudoro,1,1
Q10278474,https://www.wikidata.org/wiki/Q10278474,Everardo,1,1
Q1028468,https://www.wikidata.org/wiki/Q1028468,Camelia,2,11
Q1029057,https://www.wikidata.org/wiki/Q1029057,Gwendolen,1,1
Q10296732,https://www.wikidata.org/wiki/Q10296732,Mavis,5,11
Q1030020,https://www.wikidata.org/wiki/Q1030020,Shanice,4,4
Q10303410,https://www.wikidata.org/wiki/Q10303410,Ioannis,13,177
Q1030472,https://www.wikidata.org/wiki/Q1030472,Györgyi,2,10
Q1030789,https://www.wikidata.org/wiki/Q1030789,Győző,6,51
Q1030956,https://www.wikidata.org/wiki/Q1030956,Gallo,4,5
Q10312977,https://www.wikidata.org/wiki/Q10312977,Junko,1,126
Q10313989,https://www.wikidata.org/wiki/Q10313989,Katharine,11,74
Q10314219,https://www.wikidata.org/wiki/Q10314219,Keri,2,12
Q1031425,https://www.wikidata.org/wiki/Q1031425,Ambrož,2,2
Q1032733,https://www.wikidata.org/wiki/Q1032733,Hajnalka,1,5
Q1032760,https://www.wikidata.org/wiki/Q1032760,Canan,3,12
Q10328269,https://www.wikidata.org/wiki/Q10328269,Meghan,4,27
Q1032957,https://www.wikidata.org/wiki/Q1032957,Candice,11,42
Q1032966,https://www.wikidata.org/wiki/Q1032966,Candid,1,1
Q10334280,https://www.wikidata.org/wiki/Q10334280,Márcio,3,105
Q10335728,https://www.wikidata.org/wiki/Q10335728,Nathália,1,2
Q1033653,https://www.wikidata.org/wiki/Q1033653,Cansu,2,7
Q10337334,https://www.wikidata.org/wiki/Q10337334,Norberto,21,98
Q1035107,https://www.wikidata.org/wiki/Q1035107,Helga,25,258
Q1035165,https://www.wikidata.org/wiki/Q1035165,Helma,2,16
Q1035239,https://www.wikidata.org/wiki/Q1035239,Helena,50,356
Q1035258,https://www.wikidata.org/wiki/Q1035258,Cara,7,32
Q1035316,https://www.wikidata.org/wiki/Q1035316,Henni,2,2
Q1035642,https://www.wikidata.org/wiki/Q1035642,Hermes,14,31
Q1036095,https://www.wikidata.org/wiki/Q1036095,Jacinta,8,15
Q10369061,https://www.wikidata.org/wiki/Q10369061,Sebastião,4,52
Q10382314,https://www.wikidata.org/wiki/Q10382314,Tiago,9,117
Q1039419,https://www.wikidata.org/wiki/Q1039419,Jamil,18,30
Q10394931,https://www.wikidata.org/wiki/Q10394931,Zaur,3,23
Q10399349,https://www.wikidata.org/wiki/Q10399349,Achour,1,2
Q10402540,https://www.wikidata.org/wiki/Q10402540,Afërdita,1,1
Q10405115,https://www.wikidata.org/wiki/Q10405115,Alfrida,1,1
Q10405157,https://www.wikidata.org/wiki/Q10405157,Algot,1,9
Q10406547,https://www.wikidata.org/wiki/Q10406547,Almer,1,1
Q10408327,https://www.wikidata.org/wiki/Q10408327,Amika,1,1
Q1041062,https://www.wikidata.org/wiki/Q1041062,Labi,1,1
Q10412326,https://www.wikidata.org/wiki/Q10412326,Ann-Sofie,1,6
Q10418525,https://www.wikidata.org/wiki/Q10418525,Arta,3,4
